Rank,Review,Year
4,ARROW ,2015
5,The first 2 seasons of the show was amazing however after that it got stale and boring. I decided to give up less than half way through season 5. The flashbacks become uninteresting. The villains after 2 seasons are boring. Love story is soap opera material. Season 4 made the show unrealistic with the sci-fi magic. Arrow was more interesting when he was working alone without any sidekicks.,2017
3,"I have tried and tried to love this show, as I was a long time DC fan, but boy does the writing leave a lot to be desired. Great cast, I don't blame them. The star is impressive, super beefcakey for the girls I guess, really impressive climbing pull ups... the overview is good... vigilante story turning a corner. ",2016
3,I love superhero movies...I mean love em...I love Marvel and DC movies I do not have a favorite between the two I just love em both. I haven't read any comic books so I have to research origin stories and stuff. With that being said..,2017
1,"I'm not sure why Arrow has an 8.1 rating, pretty high for an overly boring, almost laughable show.",2015
1,"What started as a promising show years ago, is now complete garbage. They all died and they all come back to life. Its like watching a Spanish tevenovela. And the flashbacks from the island, oh man. So bad i wanna cry. The Oliver Queen character is progressing same atm and on the island. And it doesn't even make sense. The parts with magic are so confusing, they tried to fill the gap with flashbacks from the island but its just so f bad. Also the magic effects look like something from a kids show like power rangers. I really cant find a good aspect of this show. And i tried so much to do so. This season will be my last, cause id be taking this show of my list. For the end sorry that my garbage English has the same quality as this show.",2016
1,"Do yourself a favor and avoid this sh.. show. Everything about Arrow is bad. Acting, directing, story, dialogs, writing, Katie Cassidy, Katie Cassidy and her half expressions and Katie Cassidy. Ah, I almost forgot to tell how bad Katie Cassidy is. She really sucks at acting. Or she is super talented at acting like a girl who cannot act. But it's a fact that she makes this show more painful to watch.",2014
1,"Most overrated show I've seen, ever.",2014
2,"I really do not understand how this show has an 8.1 average. Sometimes it is so difficult to fathom how the writers came up with such a clichéd TV series. Now don't get me wrong, I am all about clichés and cheesy dialogues but this show has taken all of those aspects to a whole new level with an extra strong added ingredient of ""stupid"".",2015
3,"Yesterday I turned off Arrow, Season 3 episode 20, before finishing it. I couldn't bear it any more. The horrible storyline has no end. What could have been such a good show, has been ruined by extremely bad writing, which also in turn makes the actors look bad. The story is so unbelievably stupid, and I don't get why it can attract so many viewers each week. The first season of arrow was quite alright. The 2nd started to introduce some strange sh*t, which didn't really make sense, and it was like they were already running out of ideas (But at least they killed of Sarah, which was a horrible character). This 3rd season has just been nothing short of a nightmare. They are just ruining the show, and I wouldn't be surprised if it gets canned. This Rha's al Ghul bullsh*t, has been going on for far too long. Also, How can they keep going back to that sh*tty Island, it's beyond me. And please, why does every person in the show needs to be a vigilante and a master kung fu fighter?",2015
1,Any one who read DC comics will tell you Green Arrow is a poor mans Batman so to speak... That being said. With all the copy-write garbage I am sure it is easier to get rights to make a green arrow show rather than a new batman show... This still doesn't excuse how horrible this thing is. A friend referred it to me as a great show with the Flash in it. They don't cover the Flash at all really. Just a short cameo with normal Barry Allen. I would encourage you to watch a daytime soap opera then watch this garbage and tell me the difference. The acting is horrible. The writing is so awful that it must be done by drunken monkeys. They randomly put a villain in the clock tower and Arrows crew wonders where he is. They should just move their headquarters there. If they ask Laural one more time IS SOMETHING WRONG i will punch my TV.,2014
3,"(This review is written after having seen episodes 1-6 only) Who the hell decided to give the green light for this series in this state? Honestly, the people who made this must have never read a comic book in their lives.",2012
2,"This show is bad, period. The only reason is watched it is so that I can bitch about it. It has characters and scenes ripped out of Batman Begins. Come on, with all that budget, you could have at least made an effort. Batman and Robin with Adam West was more entertaining and one could argue, more genuine. They had the formula, they knew they were being cheesy and they knew they were making it for kids. Sold. But Arrow is as lame as they come.",2013
6,"I really liked the first season of Arrow. It was a dark show about ""superheroes"" wandering the street and delivering justice. It was something that Smallville could not be. Grounded, believable. Had some of the soap opera feel, but it was toned down to an acceptable level. After the first season many of the better parts including the high body count started to retreat into the background. I always held Flash to a lower standard due to its more ""One Tree Hill"" approach to the story, but ultimately as of the time of my writing Arrow hit the all-time low for me, as I am now struggling to watch it while I have a decent time with the latest episodes of the speedster. Unfortunately, I do not think Flash got smarter or better, it is just the fact that it is consistent, I always get the stuff that I expect. I have to look away when those cheesy moments come up. In the fourth season of Arrow they introduced supernatural elements to the story. Seems like they needed something like meta-humans to stay attractive. While I am mostly settled with the presence of Damian Darhk, I cannot fathom the fact that they are resurrecting long dead people. Resurrected story lines are almost as ridiculous as the fetish to make everyone related to the main characters meta-human, a criminal or just simply not normal. I understand that these shows are for young adults basically, but I still cannot believe that something should be this much predictable and stupid. Also, the new island stuff is laughable, it does not add anything valuable or new. And of course they needed to write the now canceled Constantine into the show.",2016
2,"There's a whole lot I really love about Arrow. Unfortunately, the writers continue to dilute the greatness with feeble clichés and annoying, character-breaking contrivances. These keep Arrow from being the classic show it could so easily be.",2015
2,"Season 3 was mediocre, but season 4 has a huge drop in quality (shoutout to Marc ""Franchise Slaughterer"" Guggenheim). If you are a fan of the series, do yourself a favor and stop watching. The Flash is really hitting it's stride if you're desperate for CW superhero shows. This season of Arrow is just a crudely stitched together collection of tumblr fanfics. ",2016
1,"This series is so overrated , it crap , s**t p**p , so here my review I want to love Arrow, I really do.",2015
1,"Is it just me or this series is just going down the drain, every character is getting awfully WHINY as each episode is completed..... If it goes at the same rate, this show will probably take the honours of he WHINIEST show out there... When the show started off I thought it was just Laurel, but it was understood as almost every story out there has to have someone like that to make sure a segment of viewers stay interested. But then there was Thea.... even that was agreeable to a certain extent as she's a confused just out of teens kid. But then somehow the Lead character Oliver begins to whine about everything happening in the city is his mistake instead of doing what he was supposed to do ... WTH!!!!",2014
1,Save yourself the time with this one unless your less than about 12 years old or have a very low IQ.,2013
3,hahahahhahahah! this is the most original thing i've seen in the past years! if only it were a comedy/parody ...,2013
5,"The first two seasons of Arrow were brilliantly done. The cinematography was illuminating, and it had a good plot. Somewhere along the line, though, the writing went south, and I know where we can point a finger to: Marc Guggenheim. It's bad enough that he killed off Laurel, but apparently, he wants another to take up the mantle. Rather than giving it to her Earth 2 counterpart, like any ordinary writer does, he gives it to a character named Tina Boland, whose real name is apparently Dinah Drake. Never mind that the real Dinah actually appeared before, and that she was Laurel's mother! I swear, I don't know how in the world these writers are able to find jobs. They suck at it. Then there's the Felicity relationship. Not a bad character, but when you focus on shipping these two together, when clearly, within the comic books, Green Arrow and Black Canary are an item from day one! And she constantly makes some of the most bone headed plays, yet Oliver never calls her out for it. He's such a wuss. He's not Green Arrow. Green Arrow is funny, witty and doesn't mope around. Stephen Amell is a good actor, but they should have stopped the whole Batman persona around Season Two or Three. They had a chance to make things right with Season Four, yet they come away from that one even worse. And they didn't even know who was going to end up in the grave. Really? You threw the grave plot line out there, without knowing WHO was going to end up in it? To this day, I still say William, Oliver's son, should have been the one who died. This would have made his fight against Damien Darhk much more personal. In fact, who wouldn't have wanted him to die? John Barrowman is a good actor, but they've lost all use for him. Oliver's excuses for letting him live fall flat when he sold out his son in exchange for protection. To me, that's unforgivable. I'm sorry, writers, but you have failed this show. If you want to keep me interested, fire the show-runners. Better yet, cancel the show, before you make things much worse.",2017
7,"As much as I like DC and green arrow, I don't like arrow anymore. The first season was great. It set a dark and gritty tone with a grounded characters and plot points. But then in season two it started turning into what was basically Batman. Oliver queen is supposed to be witty and light hearted (I know not every incarnation is but the most common personality portrayed in mainstream comics) yet he manages to come as close to batman as possible, with his voice changer, his tall brooding status and many other batmanesque features. his normal voice sounds so bland and depressing and in later seasons they directly rip off batman stories and moments such as the shirtless fight with ra's al ghul. Talking about Ra's, you'd think when you introduce a character that you would have every other character pronounce their name the same way, yet half of the characters pronounce Ra's differently to the other half and it gets incredibly confusing for the audience and that sparks arguments between fans. Another character that annoys me in the latest season is felicity. After listening to the fans with their ""olicity!"" Chanting the show finally got the two characters together. Then Oliver's voice changed. Stephen Amell literally changed his voice because his character was happier. Seriously. As much as I like Stephen as a person, he is a pretty bad actor. Back on to felicity. She started out great, tech genius, witty, smart. But now she has broken up with Oliver because he was protecting his son after she told him she understand why he lied to her about his son. So straight from being OK with it to leaving him. Oh sorry I almost didn't mention the fact that felicity was wheelchair bound. For two episodes. Probably why I forgot. They made a big deal about it and then literally the next episode gave her a way of regaining her ability to walk. So now she can walk again. Good for her. The only character that I like on the show is diggle. He is a great realistic character. Ramsey is a great actor and is the only thing that compels me to keep watching. That and the fact that I'm a sucker for comic book TV even if it's bad. Laurel can be whingey although she has redeemed herself a little. Sara got killed off but oh look she is alive again. The annoying Thea that is always complaining was killed off but oh wait she is alive again. The big bad Malcolm Merlyn was killed off, but oh...wait he's not dead! Seriously the only major characters to die and not come back...yet, are tommy and the Queen siblings mother. This adds to felicity being able to walk again. They are teasing the death of a character for the end of the season. The only characters that will impact the fans of the show would be felicity (my personal favourite to die), Diggle (I will quit the show if this happens), Thea (wouldn't mind not hearing her constant whining) and that's about it. Otherwise it'll just be a character no one gives a damn about. Then everyone wants Stephen to be part of the DC cinematic universe? Can they not see how unbelievably b grade this show is. It would be another level of bad if they put him in the movies. I prefer flash a and actually enjoy the show as there a more good actors like Tom Cavanagh but again Gustin wouldn't make it far in movies. As much as I don't like arrow I will probably keep watching it (unless they kill diggle, to be fair he'd probably come back three episodes later) but even though I watch it I don't believe it's a good show. It's had its moments but now it's just turned into a crappy love story for Oliver and felicity. Thanks for reading.",2016
