Rank,Review,Year
9,"*SPOILERS NCIS* The NCIS (Navy Criminal Investigative Service) is a service that investigates on any kind of crime, from barroom brawls to international terrorism, that involves men and women from the Navy or Marine Corps.",2006
6,"This show has survived the coming and going of many cast members over the years, but the latest changes -- Michael Weatherly out, Jennifer Esposito and Wilmer Valderrama in -- doesn't look promising. ",2016
5,"I am very disappointed with this season's cast changes. I have been a loyal fan of NCIS from the very beginning. I've always enjoyed the show and thought the writing was great and the characters were believable. But Jennifer Esposito has all but ruined the show for me. I find her to be rude, arrogant, obtrusive and obnoxious. She definitely Does Not fit in with the team! Wilmer Valderrama may eventually fit in, once he learns that he is there to work, not to flirt with every skirt on the show and search for apartments while he is supposed to be working a crime scene! Also, the writing has taken a decided turn for the worse - the character's parts are all over the place, and it seems they have no idea what they are doing with Jimmy Palmer this season. The show used to be balanced, told a good story, and treated all of the characters well. Now it seems they have lost their way caring more about jumping on the politically correct, diversity, and inclusive bandwagon than with creating the award winning show they have had for all these years. Very sad to see such a great show fall apart like this :-(",2016
1,"Recently sat through a virtual marathon of episodes from various seasons and came away disappointed and disbelieving. This show seems to have devolved to the low levels first achieved with ""24"" showing government agents doing bad things for good reasons. Suspects/witnesses are routinely subjected to insults, lies and in many instances physical abuse to achieve ends. Superiors, agents of similar agencies and other services as well as local law enforcement are routinely treated with ill-disguised contempt if not outright disdain.",2013
10,This is a great series to watch.  I have been hooked on this show since the beginning because I love watching mysteries and crime like CSI and CSI Miami.  Harmon's so sexy in this role and McCallum is always a joy to watch as Ducky especially when he's on the role over various anthropology lectures which to my amusement everyone on that shows roll up their eyeballs.,2004
1,"A friend of mine describes the cast of characters in this show as ""a delightfully dysfunctional family."" I certainly will agree that they are dysfunctional. Delightful? Not so much.",2012
4,"First off, I have to agree with a minority of other reviewers who describe the show's characters as stereotypical and irritating. Secondly, NCIS are detectives, who investigate crimes usually taking place on Navy jurisdiction, or sometimes involving high-profile Naval personnel. They are not a combination of the FBI or the CIA. They do not conduct counter-terrorism operations or any overseas covert ops. They do not run off to the hills of W. Virginia to find out why a Marine on leave fell of a cliff. They do not work out of a headquarters with an electronics array and lab resembling something out of a sci-fi set. They do not drive at break-neck speed without being stopped by local police. They are not at odds with all other law enforcement agencies, and are definitely not superior to any of them. It is not considered inferior duty to be assigned to a regional office or aboard a ship. In short, NCIS is an agency of competent investigators who perform their jobs with the same resources as most other agencies. They are portrayed on TV with a lot of artistic license.",2013
10,"There is simply nothing about NCIS that is not to like. I'll get the superficial stuff out of the way first - every camera angle on Michael Weatherly is gorgeous, and he plays it so well as Anthony DiNozzo. Ziva, his partner, is most adorable with every cultural nuance she utters as she tries to grasp American idioms. It's charming and realistic. Her ability to speak Israeli for some plot lines truly adds to her beauty and character-balancing the serious with the humorous sides of the show. Bringing David McCallum into our lives again brings the emotion of nostalgia. How we loved his British accent in THE MAN FOR U.N.C.L.E. His charming ramblings, his sensitivity to forensics, and his educational lessons are perfect. Characters McGee and Abby play perfectly off each other. and Mark Harmon is the guiding treasure. Tie up in a bow, and they have all played their characters so convincingly that we are invited to be part of their team every week. That's true TV. The bonus: no foul language, machine guns blaring, and no sex (but plenty of engaging innuendos). Please tune in. This show is such a delight.",2009
2,"As a prior Marine, I know what NCIS actually does, and chasing terrorists through the streets of Washington DC is not it. If they were trying to make this a serious show, they failed horribly. I gave the show a chance because I was intrigued by the two part JAG episode in which it was introduced, but on it's own it fails to hold water. It basically became ""how can we make JAG more like CSI?"" Half the time they are investigating crimes that would be under FBI jurisdiction (notibly terrorism). The absolute worst part is the characters which are so stereotypical and one-dimensional:",2009
3,"The first couple of seasons are great, with the chocking ending of season two finale ""Twilight"" as a specific high-point. Then the show stumbles a bit for a season or two, before it creates perhaps the best episodes and best entertainment you can find anywhere. But then it starts to slowly go downwards, and lately it is hardly watchable. ",2016
