Rank,Review,Year
10,"Here is one film that lived up to its hype, and by the time I saw it after it had arrived at the video stores, I had heard and read a ton of things about it, and seen all the awards it had received, and expected a lot. To my surprise, it did not disappoint.",2006
10,"...but oh was I thankful for it!!! All through the movie I kept on having this big large smile sculpted into my face. For the record, I'm 25 years old, and I've read ""The Lord of the Rings"" in three times for the first time when I was six or seven years old. Ever since then, I read it at least once or twice a year - therefore you can count me as a fan, for I follow the same cult fan procedure with ""The Hobbit"" and ""The Silmarillion"" as well. Now onto the movie... Gosh, I saw it more than one time, and I keep wanting more of it. It just never gets boring! I really enjoyed the little stuff that is found throughout the movie for fans of the books (the map on Bilbo's table in his house comes to mind, it is exactly as the one in ""The Hobbit"" book that I own), and I also incredibly enjoyed the intro sequence with the re-telling of the battle against Sauron from the Silmarillion, never has an ultimate evil being been so well depicted on the screen. It truly is Sauron.",2002
10,I think I can watch this film a billion times and not get bored. Today I saw LOTR for the third time and I noticed a few details.,2002
10,"I think it is important to remember that Peter Jackson took up this film not in order just to make a film of `The Lord of the Rings' but because he wanted to make a 'fantasy just like the `The Lord of the Rings'"" as he himself put it.  After repeating that phrase on a number of occasions the question popped into his mind: ""Well, why not the `The Lord of the Rings' itself?"".  In doing this he, of course, set himself an enormous challenge: he had to make a really good `fantasy' film, one which would stand on its own and be true to what he had originally wanted to do but he would also, and here the task he had set himself was enormous, be true to the original book and to make a film which the legions of people who have loved this book would feel happy with.  In the latter task he was certainly not helped by the author or the book: Tolkein, it would seem, hated cinema.  The book itself is `HUGE': this was not going to be the kind of task that the James Ivory team set themselves, or Scorsese nor the kind of task facing Branagh with Hamlet; nor was it going to be like the puny task that faced Columbus with `Harry Potter' who had the bigger budget ($130 million for one film as compared with Peter Jackson with $300m for three).",2001
10,"Barely ever hearing of The Lord of the Rings, I went in to see this film in theaters the consecutive Friday it was released, to not only be flabbergasted at its greatness, but wanting more! Since then, I devoted myself to seeing the following two films on the first day of release -- a promise I kept.",2008
10,Simply incredible. Never before have I seen a 3 hour movie that didn't seem like 3 hours. I read the Lord of the Rings very recently and I was surprised at how similar Peter Jackson's vision was to my own.,2002
10,"Star Wars has been dethroned.  Although George Lucas' movies are good in their own right (except for the juvenile elements he puts in to sell toys to finance the franchise), his scripts (which borrow heavily from J.R.R.Tolkien, mythology & religion) can't compare with the brilliance of the literary trilogy `The Lord of the Rings'.  Granted, Lucas took on a herculean task in writing & directing his story himself, but Tolkien's words, along with Peter Jackson's faithful adaptation & inspired vision, have created something no one man could equal.",2002
10,"The first part of the Lord of the Rings trilogy, the Fellowship of the Rings opened the door to a whole new world for me. I'd never read any of Tolkien's books when I saw the film for the first time at the theatre and, now that I've read them, in retrospect I think being a neophyte to the mythology made my LOTR movie experience all the more miraculous.",2006
10,There is very little that can be said about The Lord of the Rings that hasn't been said already many times over. But what can be re-iterated is that The Fellowship of the Ring is an outstanding piece of film-making.,2006
10,"'The Lord of the Rings' is one of my favorite books, I have read it several times, and remember thinking the last time, about 3 years ago that if I made a film I'd want to make it of this, but wouldn't it be almost impossible. You can then imagine how strong my expectations were when I went to see the eagerly awaited first installment.",2003
10,"Peter Jackson set out to make movies which the author of the Lord of the Rings trilogy, J.R.R. Tolkien would have endorsed. All three were resounding successes, though because of the film medium they necessarily varied from Tolkien's story-line. Purists may have issues with Jackson's theatrical license, but as someone who has read Tolkien's books several times and seen the films 4-5 times each, I never felt that Jackson went too far or compromised Tolkien's story, the mythology he developed or the wonderful characters he brought to life. Many have said what Jackson did could not be done. He has not only proved the nay-sayers wrong, but lovingly crafted a set of films which will, for many decades to come, stand out as a great achievement. ",2007
10,"Whether it was the opening action sequences or the finale, my heart rate was going a mile a minute watching this movie.  FOTR did everything every other fantasy film should have done; it had fantastic creatures and beings that had previously only appeared in my dreams and my imagination.  Jackson did a tremendous job making tangible what I previously had to visualize by reading the books. Without getting too specific and spoiling the ending, my only critique of the movie was that it was a little anti-climatic.  Then again, the book was also anti-climatic because it was the first part of a trilogy.",2002
10,This film is a triumph in almost every aspect.  I had never read the books upon seeing the film and was a little sceptical about what many people were claiming that it would change the way films were made.  Lord of the Rings: The Fellowship of the Ring has become my favorite movie of all time.  And I have seen a lot of freaking movies.,2003
10,"Incredible adaptation of the first book of J.R.R. Tolkien's ""Lord of the Rings"" trilogy.  I'm not going to summarize the story--there's way to much going on.  All I'll say is they took a verry difficult book with a intricate plot and made it an exciting, totally accesible movie.  The film moves quickly (with a few slow spots--but that's to get in the plot) and there's a lot to take in, but I was never confused.  I should mention that I tried twice to read the books but found them too hard.",2002
9,"The reason why this first part of Jackson's 'Lord of the Rings' is superior to his latter two parts is because of restraint. Jackson was restrained from over doing it with the CGI and ""epic"" battle sequences, which in my opinion does not make a story epic. Part of the reason was simply because Tolkien did not have very many battles in the first part of his book, which thankfully forced Jackson to focus on creating a believable world rather than a believable hack-n-slash action movie.",2004
10,"I've never been a fan of the sword and sorcery genre . I'm surprised film companies decide to make rubbish like THE BEASTMASTER, HAWK THE SLAYER and RED SONJA but I am aware of the popularity of JRR Tolkien's massive novel LORD OF THE RINGS and of it's popularity , I remember in a survey carried out by a very well known British fantasy/SF magazine in 1987 Tolkien's book was voted the greatest fantasy novel of all time ( THE STAND by Stephen King was a long way second ) , but it's a novel that has always struck me as being read by anoraks who - like fans of STAR TREK and STAR WARS - insist on reading subtexts that are just not there . When the THE FELLOWSHIP OF THE RINGS shot to number one in the IMDb top 250 films I put the popularity down to obsessed anorakish fans who were going to vote the film a classic no matter what . Stranger still I found groups as diverse as neo Nazis to gays to enviromentalists proclaiming "" This is our film "" so when I finally sat down to watch TFOTR I was expecting only some average entertainment for a non sad person with no political axe to grind . After seeing the film I had to admit THE FELLOWSHIP OF THE RING is a masterpiece .",2002
10,"I absolutely love this movie, partly because the acting is really good, but also for the CGI effects and the good storyline. I watched the extended version and realized that it isn't boring like some people think because some people I know think that FOTR is quite a lengthy movie because of all the talking, but in my opinion, if there's not talking, there's no story! If they just jumped to the fighting scenes without any of the introduction, then you won't know where the movie started from. I love the scenes where they get to fight, whether Orcs or Nazgul, the fighting scenes are still the climax of the movie.",2005
10,"There's a very obvious problem when transferring any book to the big screen, namely that some of us may already have seen it.",2001
10,"...I wasn't sure anyone would have ever guessed (except in a 2004 Fangoria magazine article written by Mexican visionary Guillermo del Toro) that New Zealand native Peter Jackson, the director behind the ""goriest movie ever made"" (1992's ""Dead Alive""), would have been behind the epic three-film installment of ""The Lord of the Rings"" saga, which include ""The Fellowship of the Ring"" (2001), ""The Two Towers"" (2002), and Best Picture Oscar-winner ""The Return of the King"" (2003).",2005
