Rank,Review,Year
10,"For those still in withdrawal from the cancellation of Arrested  Development, let me write you a prescription: Modern Family.  The comparisons are obvious and with good reason. The postmodern comedy  for the 21 century was ushered in by The Office(UK) and Arrested  Development, but I, for one, doubted something could come along and  satiate my longing for another truly, original comedy.  Albeit, you may initially be wary to see yet another mockumentary-style  show, but by the end of the pilot, you'll be smiling/laughing way too  hard to stay cynical. Thus far, the plot lines have been really fresh  and the characters are so, for lack of a better word, lovable. This  show fulfills all my comedy needs, and I feel like I must resort to the  listing of relevant adjectives: Witty, dry, smart, outlandish, silly,  clever, cute, sarcastic, subtle, not-so subtle. HILARIOUS.  I hate to say it, but the laugh tracks and raw goofyness of classic  sitcoms like 'Seinfeld' and 'Friends' are obsolete and leave something  to be desired. You will find that something in Modern Family.  And who knows, maybe some of the more painfully funny and poignant  scenarios will reveal insight into the changing dynamics of both the  modern family and modern comedy.  Great show. Period.  And let's get it right this time around: don't cancel good TV shows.  Pretty please?",2009
10,Modern Family is one of the best shows on TV in 2009.,2009
10,"I just want to say that I love this show!! It is good family entertainment. I believe all of us can relate to someone in it or have a relative that can. For those of you who only saw the pilot (which I watched by accident and loved)please don't give up on it, it is really good comedy. I can't decide who my favorite character is, Cam, Phil...all of them, each week another one cracks me up. I rarely watch TV but this one has me hooked. I agree that the format is much like The Office, which I also think is funny, but the shots to the camera, the expressions are some of the best parts. We have all of the shows on dvr because my daughter and I usually can't wait till the next Wednesday to see it again! Again...Best show in years!",2009
9,"When I saw summer promos of this sit com I thought it looked forced and very predictable. As Cam would exclaim, ""Surprise!"" It is well cast, written, and consistently laugh out loud funny. The documentary camera bit is actually as well done, no, even better than one of the best, The Office. I recognized most of the talented adult cast, they have great chemistry, and it was so hilarious when Shelley Long guest starred as the ex wife. But it is the kid actors on the show who are amazingly well directed in their parts- Manny, as a son, stepson, brother, uncle, and cousin is a hoot: he can wisecrack with the best of them, and then break your heart when dad isn't able to fulfill his promise for the weekend. I always thought Steve Levitan did agreat job with ""Just Shoot Me"", on NBC and I think he and ChristopherLloyd have got a hit show for ABC. Take a look at this so ABC won't cash in on some more ridiculous reality shows.",2009
9,"Because I have not one, but two, DVRs I'm able to give all the new shows a chance, which I did with ""Modern Family"". Am I ever glad I did!! I have found that everything about this show is believable. Though the situations that occur during any given half-hour show would obviously never all happen in that short a stretch, I have no difficulty in believing that they would all happen. I never feel that anyone's exaggerating to draw a laugh or milking a laugh. It's just the only ""laugh out loud for the whole show"" on TV today. It is, IMHO, the funniest show since MASH, and that's saying some.",2009
8,"I saw the trailer for this show a while back and was instantly intrigued. Shot in a ""mockumentary"" style it follows the lives of three couples who's various members are related as family members. Although the set-up is slightly cliché, a gay couple, a stereotypical family and a Columbian wife and son (from her first marriage) with her American husband, this is where the standard ends. The dialogue is fantastic and at many points I found myself really laughing quite loudly, something which is very rare for a TV show to accomplish for me personally. The casting is also spot on with the inclusion of Ed O'Neill (the infamous Al Bundy!), Ty Burrell, Julie Bowen and Sofía Vergara, with each actor really bringing something unique to the mix. I strongly recommend this show to anybody who appreciates good comedy, the ""to-camera"" sections of the dialogue have a very close resemblance to the original UK version of ""The Office"" and for those who are familiar with this, Modern Family will be a welcomed return. Great show, great acting, great script. Highly recommended.",2009
8,"I decided to check out ""Modern Family"" after hearing all of the critical praise about it. The show was five episodes in, so I caught up on the action online. And I must say that the acclaim is well-deserved. The show is nothing like what I'd imagined when I read about it. It is not a typical three-camera sitcom and it actually IS as gut-wrenchingly funny as people say.",2009
10,"Modern Family is an exemplary show. It's got everything to love in a sitcom. It has humor, heart, great acting, great writing, likable characters, I could go on forever. The jokes are sharp, believable and it's also not too hyper like a lot of today's sitcoms are. It has quieter moments. And not that I'm bothered by a laugh track, but it also understands that you don't need a laugh track to be funny. I love to watch it with my family every Wednesday. My family and I love it to death. It's as well one of those rare examples of a show that hasn't suffered from what I like to call ""SpongeBob Syndrome"" (With flanderizing characters, recycling episode plots, etc.). I definitely recommend it :).",2016
9,"I wasn't sure about this show. I liked Ed O'Neil and wanted to see him succeed in another comedy. I talked my girlfriend into watching the pilot episode and we laughed uproariously. The casting was so good. Ed O'Neil's delivery is absolutely pitch perfect. Ty Burrell is annoying but, in the perfect over-compensating way that you would expect from a dad who feels his Life has aged while he has remained a teenager. Julie Bowen manages to under play her role as Ty's annoyed and insecure wife. Sofia Vergara is absolutely gorgeous as O'Neil's younger, Latina wife. Jesse Tyler Ferguson and Eric Stonestreet are hysterical together. The show ties together so well each and every episode.",2009
1,Not funny at all! I gave this a chance and tried a few episodes but gave up. It's the opposite of laugh out loud funny! Why do so many people like this and why does it win so many awards? The situations are so contrived and exaggerated. People just stand around looking daft and some supposed joke takes place. Hate the camera work too.,2012
