Rank,Review,Year
10,"So far, I'm enjoying this show. I consider it a more serious ""Scrubs"".",2005
4,"As a final year med student about to be a neurosurgery intern in two months, I have spent several years in hospitals and several months as a subintern at major hospitals throughout the country. This is one of the most unrealistic medical shows I have ever seen. I'm sure it's fine as a drama or soap opera but don't expect any accurate depiction of what things are really like in surgery. Nobody expects an intern to operate solo. Getting a Chinese interpreter takes 5 minutes. Even a junior med student knows that. Interns and residents are not nearly as dumb as they are portrayed here. The job of the intern is to do scut work. It's really not that hard. You're just a glorified secretary for your superiors. You don't save lives. You don't dole out bad news to family. You don't really even scrub into cases that much. Cut-throat competitiveness is the exception among interns. Camaraderie is the norm. Also, for God's sake nobody touches their mask with bloody gloves. You don't take off your mask in the OR to talk. I could go on and on. It would be nice if Hollywood would hire even a med student as a consultant and pay them a nominal wage to get a little shred of realism.",2008
8,"Grey's Anatomy is a surprisingly addictive show. The plot lines are an interesting blend of soap opera, drama, and comedy--it's not really like anything else, but at the same time, it occasionally feels pedestrian. However, it's very well done--good writing, great acting, and well directed. ",2006
1,"This show is very slow and the narration is a little annoying, the characters aren't very interesting and it seems to always be based on the relationships. The whole 'choosing' gets really irritating....This is supposed to show how surgeons operate in the work place but seems to be a rip of an 'teenn soap'/ER.... ",2008
10,"This television series is one of the best dramas I've ever seen in a while. The cast has great chemistry, especially Patrick Dempsy and Ellen Pompeo. The script is flawless, full of new obstacles for each character to go through per episode, with bits of comedic writing in it as well. I have compared this series with the ER series and personally, I like this series much better. Grey's Anatomy has bits of life lessons for viewers to learn every so often. Many episodes breaks your hearts, making you feel tempted to even yell or shout at the television screen! Great cliff-hangers, making viewers waiting impatiently until next Thursday to see what happens next! Overall, Grey's Anatomy is a wonderful show. Tune in!",2006
6,"My girlfriend insisted, and continued to insist that I watch Grey's. Eventually, I gave in, and loved it. The first two seasons are gold. That's where it ends however, as the third season was simply more of the same. That should be good, right? It isn't. Some of the characters who previously annoyed me a little (notably the protagonist Merideth) have all of a sudden become so unable to establish (and maintain) a proper relationship that their stupidity makes me want to do something bad. ",2008
8,"I love this show the first 4 seasons with the original cast were amazing I couldn't stop watching. When Isiah Washington and the other actor who played George left it slowed down a bit. Then it picked up around the 6-7 season. A song beneath a song was a beautiful episode, many hated it. I was a part of the fans who LOVED it! I cried, laughed and truly enjoyed watching the actors go past the element of just acting and showcase their musical talent. No they're NOT professional singers they're professional actors! So of course they're not going to give Adele a run for her money yet it was so nice to watch them, I enjoyed that episode so so much! Although I would've loved to have heard Sandra Oh sing as she did in a prior episode when she sung Virgin by Madonna and she actually has a nice voice. ",2017
10,"I absolutely love this show! The characters are full of character and feeling and sense and everything that is in the best shows!!! The story lines are totally believable and there are sad parts, funny parts, intense moments, and refreshing insights...just everything I love in a great show. There are enough surprises to keep you guessing, but enough stability to keep me coming back to watch the next episode. This is truly an absolutely wonderful show! I cannot wait for the next season to begin and my daughter loves it too. All my co-workers love the show too and we watch it and look forward to discussing all the parts the next day at work! This show is irresitable...so if you haven't watched the first season...you should try to rent it or watch the re-runs (if they ever come on again!!!) We (my daughter and I) say - when is it coming back on?!? Now - tomorrow is too late :)",2005
1,"i'm writing this review after being a faithful fan for almost 6 years or probably more, the early seasons were awesome, then starting from the 7th Shanda rimes creativity started to turn into craziness, the 8th was a disappointment, all the stories were diluted and Shanda seemed indecisive whether to continue them or break them, the end of the 8th season was the most disturbing and stupid finale ever... the series seems to be written by an amateur, she crushed the spirit and the awesomeness of this series.....",2012
4,*Grey's SPOILERS* ,2006
