Rank,Review,Year
2,Sry for my English - i am from Germany!,2016
6,"I wanted to like this show, I really did. But when the writers consistently try to treat me like I'm a nine-year-old with ADHD, it gets old. Plot holes in this series are ENORMOUS.",2016
2,"I'm not sure exactly who this movie was made for, I mean if it were made exclusively for 13 year old children, then I might be very understanding as to why it feels really weird to watch, I literally can't stand this movie, Please who wrote the scripts? No imagination! at first I thought it must be one of those indoor nerds who wrote the entire thing but then, there was that episode where apparently Cisco had to hack the city's network and they weren't being explicit as to what ""network"" they wanted to hack, then apparently the network was hacked in 4 seconds, like I could see the laptop the apparent hacker used showing graphic images of 3D models, that was when I knew it wasn't even a geek who wrote the Script. The languages are too cliché and I had to ask for help to un-see this thing. don't even get me started with the Intro speech. But then again, perhaps they wanted just an audience of 13 year olds.",2017
1,"""My name is Barry Allen and I am the fastest man alive"" - But every other speedster on the show is 100000000 times faster than this piece of poorly written and played character(even the new speedsters who just got their speed). ""I hunted down the man who killed my mother"" - No duh you did. He didn't even remotely hunt him down, it's actually the opposite way around and in the end it was not even him who defeated the reverse flash. It was because of eddie the reverse flash was defeated. And Gaaaawwwddddd !! The actor is terrible.He always talks as if he's got a tampon size ice cube up his arse. Not to mention the writing of the show is so cringeworthy, the flash heavily depends on other character's advice to use his powers. The flash himself is an intelligent personality who can figure counter measures on his own. Remember with his ability to run faster came the ability to think faster and better.",2016
2,Might contain spoilers yet it is hard to spoil the show that spoiled.,2017
2,"This show really makes you wish to be able to go back into the mind of a little child. Unfortunately, if you have an IQ higher than that of a 6 year old or are not a complete idiot, you will witness the absolute murderfest of a character you may have held dear and loved all your life. ",2016
1,"In my opinion, this show started great with a surprising first season, but as the second season came along is like the show- runners and script writers ran out of ideas and started doing random stuff that made no sense whatsoever. The second season had way too many plot holes and continuity errors. Too many things made no sense whatsoever and many other things were left completely unexplained. It was almost as if the both the show- runners and the script writers were changed halfway through the season and they had no idea what was going on with the show. I won't get too much into detail but an example of this was the Zoom almost killing ""Jay Garrick"" flashback at the beginning of the season. Technically, with what happened later on the show, that NEVER happened since it was all made up by zoom, so why show a flashback to an event that never happened?! A second example was when Zoom killed his Jay Garrick self in front of the team. He arrived with the body at his lair and said ""Well, this is a complication"" but then like 3 episodes later supposedly it was all part of his plan all along and his Jay Garrick self agreed to being killed. So why, if it was all part of his plan all along and his other self agreed to being killed, why was it a complication? The season already ended and this was never explained. These two things I just mentioned were left completely unexplained and it caused continuity errors with things that happened later that SAME season. They create quite the plot holes as well. But these are just two of perhaps the 10 to 15 things that were left completely unexplained by that season. It is almost as if they just rushed through the script writing without revising it after they were done. They really didn't think things through with this season. Maybe the success of the first season got in their heads and they thought they could just make a bunch of random illogical stuff and people would like it.",2016
1,I have been quite happy with the Flash until I saw season 2 Episode 18. The writing in that episode is beyond stupidity. Why?,2016
5,"This is my first time writing a review, but that's just how irritating this show was for me, one word to describe this show is cliché. First of all the show is so repetitive, the villain makes a first appearance and the flash with all his speed and abilities has to lose to the villain at first and then go prepare himself in star labs then he beats the villain in a rather disappointing showdown, excuse me but İ find it illogical that the flash would stop right before catching a shapeshifter just to tell him ""You cant outrun me"" resulting in his escape, really ? what a cliché. And yes the inconsistency of the flash's powers why isn't he able to avoid getting punched ? or speed his way out of a group of bees ? or avoid getting hit by a freezing/fire throwing gun ? it's just lazy on the writers' side to not try and find real challenges to his abilities instead of just contradicting the powers he shows in other unnecessary aspects of his life. Show is also full of plot holes, star labs is the place where everything about barry's identity is kept secret yet people just keep barging in on them like iris confirming the flash's identity, also how eddie keeping barry's identity a secret is affecting his relationship with iris is beyond me it's like they're begging for something to fill the episodes with, not to mention the corny dialogue. Also if cisco put his mind to it he can cure cancer.",2015
10,"I have been a huge fan of this series and really loved it for first two seasons.But now they are losing there track and I don't know why they are so much focused on Joe's family.He found his wife, got his son, he is dating Cecile and now is going have a baby.Sometimes it feels like the Joe is the main character and all story revolves around him.",2017
7,"If you had asked me a couple of years ago what the best super hero TV show at the time was, I would have said The Flash.",2017
3,When I was a lad back in the 60s my favourite super heroes were The Flash and Green Lantern. I'll discuss the horror that was the recent Green Lantern movie in that thread.,2015
