Rank,Review,Year
9,"The brilliance is all in the subtext. There are many hilarious moments that are only funny if you've been paying attention and understand where the character is coming from. There are also many tragic moments that would pass you by if you didn't know what came before. Many lines have double or even triple meanings. Watch this from the beginning, with a friend. Believe me, you will want to discuss each episode afterward to figure out some of the nuances of what happened.",2009
9,"This is a perfect show in every sense. The opening credits & animated intro are themselves works of art, and the creative direction makes the series so visually exquisite that you can't take your eyes off the screen even for a moment lest you miss one of the many perfect vignettes. The haunting opening music sets the stage for masterful sound design, ranging from each episode's musical selections to the subtlest of ambient sounds. The camera-work is nothing short of stunning; it loves each character and makes even the background action interesting. Talented cast and every character is watchable & believable.",2010
10,"I also am utterly bemused to see so many negative comments on this show. I haven't taken to a TV drama so much since 'Our Friends in the North' (UK only I think) For those who seem to think the show is about pointing out the improved morals of the 21st century, or don't catch the story lines as being evolved enough, or think the characters shallow - I'm afraid you're missing the (beautifully painted) picture completely.",2009
10,"I must admit I'm more likely to be shocked how many users find this drama dull.I remember the night I had the chance to gaze at one of episodes for couple of minutes.Betty posing for a coke ad didn't seem charming or appealing to me at all, I changed the channel...",2009
8,"The first episode of Mad Men honestly represents the drinking, smoking, sexist fifties, a time when Madison Avenue's attitude and control permeated our entire culture, including one international political blunder after another, a time before anyone ever heard of political correctness. Gays were still in the closet, women slept their way to wherever they wanted to go, and advertising executives ruled the world. Everyone smoked because we all just looked so damn good doing it.",2007
8,"The characters go around completely oblivious to how pointless their lives are. They think they have perfect marriages-- they don't. Perfect jobs-- nope. Perfect health even though they constantly smoke and drink-- nope. We can look back and see how phony it all was-- the advertising, the plastic homes and lives, and the social niceties and expectations. And here's the punchline-- it's US! TODAY! And that's the brilliance of the show. Today we are the same with different clothes and cars. We are jaded, full of irony and smarm, and believe we are self-aware. Imagine how a TV show (hologram show?) will look back at the sad folks of 2007 45 years from now. We tune out, blame others, scan the internet for porn, buy $5 coffee, and still can't fix the health care system. Apart from the amusement of looking into a 47 year-old mirror, the show gives us tremendous writing, acting, set decoration and drama. Let me re-emphasize my favorite part of the show-- set decoration. Kudos all around at the insistence of having the look of every scene strike me as true and accurate to the nth degree. I have watched each of the first episodes three times each. I love it!",2007
2,"Spoilers!!! Okay, I'm just going to say it. Don Draper is awful. He is a scumbag. A lot of people praise Mad Men for the ""complexity"" of this character, but in all honesty he bas got to be one of the worst characters in television. Not only is he totally okay with betraying his wife several times, no he also has the audacity to act out if someone calls him out on it (the comedian from season 2). Also he is fine with telling an emotional story (about his family which he has no empathy for) just to sell a product (The Kodak Carousel). After the divorce from his wife he continues to be terrible. Remember he is quite passive as his increasingly psychotic wife ruins the life of their children. He must have noticed something (his daughter running away from home to be with him or her being forced to visit a psychiatrist). But to his credit he ain't the only horrid character. Nobody has positive traits. The story stays the same. The only somewhat likable person who develops throughout the story is Peggy and that is unfortunately not enough to hold up seven seasons.",2016
8,"Women were objects, the steno pool was a sexist source of jokes, and the ad men were (they thought) at the top of their game. They had the world on a string and all was well in America. Eisenhower was brilliant, Communism was evil, Tobacco was good, and drinking in the office was just creative brainstorming.",2007
1,"Let me make one thing perfectly clear--Mad Men is not The Sopranos. Now, with that out of the way, I think I can give an honest opinion about this overrated show. Yes, it's overrated, and it's overly hyped as well.",2010
4,"The fanatic (note ""fan"" in fanatic), unthinking embrace by many viewers of this soap opera(Yes, it is a night time sudser in the same sink with All My Children) and its characters is only explicable in terms of a puerile taste for soft porn and titillation, caused, not by pretty females in the cast, but by all the booze consumed, the fags smoked and the obvious sensual bonanza for gays and hetero women when Don Draper takes off his hat. Very sexy, very virile--only one so tedious as Don could be known best for the way he takes off his hat.",2010
4,"Hailed as being as good as West Wing and the Sopranos I was drawn in to go and see this show. Alas it's not doing it for me. Apart from Joan Holloway there is no character I like. They're not funny, mysterious, smart or anything else interesting. Big hero Don Draper is not my kind of guy, too shallow and his back story too dull and predictable (I don't like Tony Soprano either but he's interesting too watch, as is the world around him). His wife is even worse. She is a spoiled waste with no other quality then being beautiful. Perhaps badly written as a quite desperation character caught in the times (60s)but she's hopelessly inadequate as a character (what would Cybil Shephard in her prime have done, more wit perhaps or a bit more depth or at least captivating). These people are supposed to be smart but not even in the current season (3) I have seen them do anything smart or say anything intelligent (this is certainly no West Wing level, scripting, it is not even on par with the final WW season). Actually the book by Ogilvie on Advertisement (mentioned in the series) is better written then any of this. Basically I have watched 3 seasons of soap opera with better sets and lightning, but certainly not more intriguing. If this was life at the beginning of the swinging sixties i'm glad my parents turned out all right.",2009
9,"I'm in love with this new show. As noted in previous comments (correcting other comments), this show takes place in 1960, and not the 50s. I find the criticism of this show funny--it's a television show, folks. I don't think it's meant to be 100% accurate. If it were, it would be pretty humdrum, imo.",2007
5,"OK i know im in a minority not to think this series is genius but i am entitled to be wrong lol. The production values and attention to detail are superb, the representation of the style of dress, technology, and architecture are just gorgeous, but the story lines and plot have typical soap opera values which could easily crop up in eastenders or coronation street,both of which i find dull and boring, this is equally dull, it is so banal in its plot lines that all it has going for it is its good looks. Style over substance has never been more apt, my partner watches it and freely admits it is only for the clothes and style that she does so, otherwise its not very interesting, since the fashion angle has very limited appeal to me there is nothing i can find here to make me stick with it, the women are lovely to look at but i really need more than eye candy to maintain interest.",2012
6,"I wanted to watch Mad Men as it was recommended in a lot of websites on articles along the lines of: ""Shows you should binge watch"" The IMDb rating of 8.7 proved to further bolster that point. ",2015
7,I bought the DVD of Season One based on sheer buzz from friends.,2009
3,"Like many who wrote sharp critiques against Avatar the movie, I found much of the same parallels between love of a well art directed movie and a well art directed TV show.",2011
1,The majority of the reviewers are not from the USA and male. There is a lot of talk about its hidden depths and its realism. How it breathes life into a fascinating period of USA high flyers.,2015
8,"At first, this show intrigued me. It gave a glimpse into an era long gone. The set and acting were both superb.",2015
4,"I agree that the series lacks depth. I, myself being in advertising and working on Tobacco products, can easily mesh with the Characters: i.e. client-creative-client service relationships. My favorite scene though was from first season, Let me just say ""Carousel"" If every show was as good as that presentation- I wouldn't feel like I was wasting my life away... BTW why does Betty always talk so slow, it seems like she is on something.",2009
3,"People kept telling me that they loved this show so I ended up getting the DVDs of the first season. I watched the entire series, hoping it would grow on me. I have to say though that I was bored at the beginning and I was bored at the end. ",2009
1,"Mad Men is poorly written, it spews continually lackluster dialogue, and it struggles with one boring plot line after another. The show boasts quite the cast, but this only underscores how poorly the writers have done in utilizing the talent at their disposal. When it first came out I was intrigued, and subsequently watched several episodes, but it didn't take long to come to the realization that there is simply no ""there"" there. Short of the somewhat unique premise of the series, there is absolutely nothing about this show that warrants the attention it is getting. Are people really so shallow that they fall for this sophomoric, gimmicky drivel? When I heard that it was actually winning awards I couldn't even believe by ears. Mad Men is every bit as trite and pathetic as our modern movies and music. Style over substance, nothing more.",2010
2,"... because producers seem to think that just because they portray this stylish era, they can be sloppy about the plot. One of the most frustrating things I found is that many interesting plot threads are started and are never followed up upon later (or just not enough). A lot of scenes could be just easily left out since they don't contribute to the understanding of the characters or the plot (seriously, do we really need to see Don taking a long walk across the office or smoking leisurely at a restaurant with nothing else going on?). Instead, producers could spend more time on good dialogs, because the dialogs in this show are trite for the most part.",2009
4,"Ocean Thirteen's slick credit sequence, highlighting Brad Pitt in all his movie star glory and letting us all know that Soderbergh and his camera are up for some glossy fun, gets the heart racing in anticipation of a slick, sly heist caper on par with #1 and superior to #2.",2007
6,"I went to see this movie with only one expectation, surely it cant be as bad as the second film. On this front i was greatly pleased as the sense of smugness surrounding twelve has been completely lost. The only real problem i had was that after the film finished i really struggled to remember anything particularly about it.",2007
