Rank,Review,Year
9,"LOST is a cool experimental TV series. It has been wrongly labeled as a simple concoction of well known stories (e.g. Lord of the flies, The beach). Due to its complexity, you feel lost at times.",2010
6,"This show could have been brilliant, if it hadn't spent so much time trying to convince us it was brilliant. The problem with Lost is that it does not come through on it's central premise--- to explain the unusual events on the island.",2010
4,"The finale to ""Lost"" failed on many levels, and not just because it did not answer questions. It was poor writing that was an emotionally manipulative, contrived, and done-before piece. I got it. I saw the different alternatives integrated into the characters' memories. I saw the after-life reunion that would bind them all together in eternity. But, the finale served to diminish the integrity of the entire series because SO MANY small questions were left unresolved. ",2010
9,"While originally reluctant to jump on the bandwagon of watching ""Lost"", I accidentally caught one episode at the beginning of season 1the one with the polar-bearand it has had my undivided attention ever since. The show, that is. Not the polar bear. So bear (heh) with me while I throw out as much rambling, semi-coherent praise as I can muster.",2006
1,"A TV series that started with real promise & potential, plummeted — losing a good deal of steam and momentum, and ultimately was rendered completely pointless from leaving so many ""loose ends"" and not providing any real answers nor resolution.",2011
10,"I love this show!  It's like watching a mini movie each week!!!  The first episode was so gripping and terrifying...so was part 2 of the  pilot...  I'm definitely gonna keep tuning into this show!  This is the real Survivor!  I've looked at a few of the other comments and I can see that already  after just one or two episodes the morons here are already crying  wolf...  Sorry if it's not another reality show, kiddies!  There was once a time where there were...now brace yourself! Actual TV  shows!  And this one is actually good unlike most of the crappy sitcoms today  or the ump-teenth carbon copy of a Law & Order or NYPD Blue or CSI  series they're dishing out...  Watch this yourself to form your own opinion, don't take one from the  boneheads here!",2004
1,I'LL START WITH THE OBVIOUS THE BACK AND FORWARD THING IS EXTREMELY Irritating ,2012
10,"Lost, probably the best t.v series ever made. the storyline is clever and when all your questions are answered watching one episode, 100 more are raised. if lost can carry on it's magnificent ways and not get too carried away then it will be stapled the best show ever. The survivors of a plane crash are forced to live with each other on a remote island, a dangerous new world that poses unique threats of its own. after reading this your thinking how on earth can that be interesting? and heres your answer, every season SO FAR has always been full of surprises, your always questioning your self why did that just happened and what's gonna happen next each time, very unexpected thing's happen and the story goes on wonderfully SO FAR! The series just sucks you in, it's chilling and very addictive, everything from the wonderful creators and directing to the magnificent performances by the cast creates a very believable story. Lost is simply unbelievable, amazing, highly entertaining, top notch, t.v at it's best.How ever you want to put it. ",2009
3,"This show was possibly the best thing on T.V. and it could have been for another few decades had it been more properly thought out. Lost was something different, something intoxicating. Week after week you'd tune in to see the trials and tribulations of all these random characters that had been thrown together under mysterious circumstances. The characters were superb but the best character of all was the setting itself: The island, what was it and why were they all there. You were dying to find out what the island was or why they were all there but the way it was built up it almost felt as if 'Lost' would reveal the answers to life. I would've been happy however with a more suitable ending, something that actually fit the story and the mythology they had created. It was a beautifully constructed but fragile house of cards that came violently tumbling down as soon as the writers revealed in the last ten minutes of the show that they never really knew where the heck this was going. This show deserved a better ending and we as the fans deserved some absolution. The show needless to say did not deliver and I would not in my wildest dreams recommend this to someone I'm friends with simply because it leaves you hurting and looking for a way to rationalize it and make sense of something senseless. Over all 'Lost' was a giant six year troll and you're better off not wasting your time. They did with this what was done to 'The Matrix' franchise. If you want to see something that leaves you guessing and questioning but actually seems feasible after all the clues you've been given watch ""Inception"", ""Donie Darko"", ""Jacob's Ladder"", ""The Fountain"", ""Vanilla Sky""; at least those are two hour movies and they add up in the end, this show went on for six years and all you wanted were some answers only to find there were none to give. This was over all an incoherent piece of bad writing.",2010
6,(this may contain spoilers so do not read on if you haven't seen it),2011
6,"Where do pressing questions go if they want to remain unanswered forever? They go LOST... :) - Mysteries have a tendency in LOST to appear to be of major importance, even seemingly let the world depend on them (sometimes quite literally!), while in fact there's not really much there that deserves thinking it through. That's the sad truth after the curtain went down on this show after a mostly extremely bland final season. Even the iconic moments the show definitely featured during the first seasons to a great deal become meaningless on retrospect. Even main characters that were set up as key players in the grand scheme of things turn out to have no clue whatsoever eventually. So the authors choose not to reveal too much as they go along, just tease, keep things interesting and suspenseful with immense cliffhangers and what not, yet often let mysteries die due to old age after some seasons have passed.",2010
1,"What can only be described, as the Ultimate Screen Writers Nightmare or Revenge, ""Lost"" has achieved the ""ignominious"" title as ""Nuttiest TV Show of All Time !"" Even crazier than the movie ""Tootsie!"" ",2010
1,"To anybody considering giving this TV series a go, I would suggest you don't waste your time. I persevered until well in to the second season - and basically all it was was unanswered question after unanswered question - a crude formula in my opinion to drag out a story which never had any bones to begin with. I read somewhere that the show's writers themselves didn't even know where the story was going - I laughed so loud! I'm all for an intriguing narrative, but for as long as I followed this it was a series of unanswered questions - one ridiculous suggestion would be unanswered and quickly replaced by another equally ridiculous suggestion, which wow, would be unanswered! And so on and on. It was an absolute farce in my opinion, and a crude structure designed simply, along with the hype and marketing, to keep people watching in the expectation that 'it will all come together soon!' 'it has to!'. Don't be surprised if it never does",2014
4,"When the pilot of this show was broadcasted, I was astonished. I still think it's one of the best ever. Intriguing, thrilling, extremely well shot. As the story started to develop throughout the first ten episodes, the show kept the pace. Some story lines seemed to have been left behind, but everything appeared to make sense.",2007
1,Lost is just awful. The viewer sees more pieces than the characters and so is frustrated when they stumble about from one disaster to another - all because the characters don't talk to each other.,2007
10,"Once in a while, there comes along a TV drama series that makes you glad the medium was invented.  A series that makes you glad to be alive; a series that breaks your heart that you have to wait a whole week to see the next episode.  Shameless is such a series.",2004
10,"I'm not a great authority on this, as I hardy watch TV any more. If they came up with more stuff like this, I would be addicted to the Box. Fantastic script, characters and acting and the funniest, freshest British made comedy I've seen since Spaced and (to a slightly lesser extent) The League of Gentlemen.",2004
10,"Co-written by the writer behind 'Clocking Off', This is one the most stand-out, must-see series British television has produced. The exploits of the Gallagher family are no-holds-barred and guaranteed to either offend the viewer, or cause them to slide off their chair and roll around the floor, laughing their behinds off.",2005
10,"I can't comprehend how people can give this a bad review. It is without doubt one of the best shows on the TV and is comparable to Nighty Night, League of Gentlemen and possibly Little Britain, when it comes to blacker than black humour. The characters are sublimely developed with Frank, the hapless father being one of, if not the main character. He is a horrible man with questionable morals and less than a day's work behind him in his life. He has 8 children to support and is supported himself by his beautiful yet eccentric wife. It is Franks tale of partying, avoiding work and generally being the worst father in the world. If you don't like this, you don't know what's funny.",2005
10,"Definitely the best series i have ever seen on TV. Non stop Laughing all the way through. the realism of the program is great and allows a lot of people to actually relate to it. i would recommend everyone should watch this and hopefully enjoy it as much as i have. the characters are fantastic, frank is hilarious! there are also the characters who you befriend throughout the series, like Lip and Ian. the story lines have been fantastic and each one has left you wanting to see what happens in the next episode. this program is a definite 'thumbs up' and hopefully there will be a second series with all the same characters, because i am sure people would welcome the return of the show.",2004
10,"""Shameless"" began a couple of nights ago on SBS TV - supposedly an ethnic channel (are Mancunian's ethnic, then??) - in Australia, with no warning, no fanfare. I was blown fair out of my chair by this show, and possibly appreciated it all the more because I had no expectations, although once I noted Paul Abbott's name under 'writer' I knew I was in for something special. His scripts for 'Clocking Off' and 'Linda Green' were, like 'Shameless', both sharp and original. Dialogue is quick and relevant, characters are drawn immediately, and altogether the script treats the viewer as an intelligent participant in the hilarious, and often poignant, exploits of the Gallagher family. Dad Gallagher, always a bit the worse for wear on drugs or alcohol (or both) is raging around the room talking rubbish, and Fiona, eldest child, explains to her posh boyfriend that her Dad's ecstasy dealer is a schizophrenic, like that explains everything. Perhaps it does...... If you get the chance to see this, then don't miss it.",2005
10,"After clicking on this website and reading the completely rubbish review by someone which everyone supposedly must read before doing anything else-I thought I better tell everyone that it is completely wrong! Shameless is brilliant, series 2 has just started and I recommend everyone to watch it.",2005
3,As an avid viewer of Shameless since series one I have noticed a gradual deterioration of the quality over the last two series (my rating is for series 6 and 7). I have now reached the point where I can no longer bear to watch wondering what horror show they will put on display next.,2010
8,"Paul Abbott's last drama, 'State of Play', was an ultra-serious (and ultra-good) political thriller.  For this, his follow-up, he has made what at first viewing appears to be a bizarre choice, making a drama about working class life that superficially resembles an extended version of Harry Enfield's 'Slobs' sketches, only with added sex and violence.  But as you get used to the program, its appeal grows.  Human stain Frank Gallacher, the awful family patriarch, rumbles on in the background, pretty much ignored by everyone else, who've all rumbled that he's just a waste of space. Meanwhile, they try to make the best of what he has left of their lives. Fast paced and funny, it's infinitely more entertaining than stolid dramas like 'Family Business' (screened at the same time on another channel).",2004
10,"I think the only thing that can be said about Shameless is that it is simply THE best Drama that has been on TV in years. America has produced TV shows which have bowled over audiences for years, such as The Sopranos, Oz and Homicide whilst we have to put up with year upon year of rubbish, with the odd classic such as Robbie Coltrane's Cracker to relieve the banality. From the first episode of Shameless I was hooked. The Characters, humour, acting, stories, script and dialogue are fantastic, and I cannot understand how anyone can slag this excellent show. I was so looking forward to the Christmas special, and whilst there was a serious tone with Ian's plight, I think there was always a serious undertone to the whole 1st series, and that is what makes good comedy drama, rather than just comedy.",2005
10,"This has to be one of the best drama's this year, it may only be going into it's third episode but I'm totally hooked. This drama is also like a comedy as well and has a few funny bit's. This is an enjoyable show for everyone. I give it 10/10.",2004
10,"What I am doing reviewing each series for how they did and their downfalls. I will be deeply analyzing Shameless, and the end I'll simply place a verdict.",2013
10,"Shameless is the funniest show on TV. The Gallagher kids have a chronic drunk as a father and a self-pitying mother who deserted them, instead of falling apart they have successfully stayed together and retained a close bond. It would be so easy to have made a show using the same characters and turned it into some sad soap opera portraying them as depressed poverty stricken people who would never achieve anything, instead all the characters are intelligent, extremely funny, creative and determined to succeed. Reading this back it doesn't do the show justice - you need to see it to appreciate it. Its hard to even to be mad at Frank who can be such a jerk but obviously loves his kids and Sheilia who is very kind and as nutty as a fruit cake. The neighbours Kev, Veronica and Marty are the best neighbours you could get (I'd love to live in their neighbourhood). People who are offended by bad language, sex and naked bums should go and get a life. You can not miss this show its the best of the best of the best.",2006
10,"Anyone who don't find this funny need their head examened... I mean it This is the funniest thing made in a very long time. Not only that for once a show that isent scared and don't take itself seriously... And what fab characters: Frank-A total waste of life lol says a lot of things but they rarely make any sense Sheila-I laugh my head of...Scared or everything, lives in her own world and takes more meds then I can count Fiona-Cute and sweet you so want everything to go well for her Veronica-My favourite. Totally mad Kev-You just want to kiss him... Lip-Makes up for his nickname Ian-Gay and scared of coming out...Played brilliantly for an actor who makes his debut Debbie-Reminds me of me when I was little. Just the little sister you'd like to have And all the rest...Carl, Kash, Yvonne, Carol, Marty, Lillian and Hippi Pete they are all amazing and played but some of Englands best I take this over any American comedy any day....Hey I'll take any UK show over any American any day but whatever :)",2006
1,"It's a one trick pony, offend as many people as you can over and over again and again and again.... It's like some comedians who are not funny so they rely on bad language and blue humor for their laughs. I like gritty plots, I like working class northern English dramas (that's me too), but this is just tripe. I know some people love it, my cousin is hooked on it. The acting isn't that great although I do have to say that take some characters away and it could be better. I'm not an expert, but that's my opinion. Also I didn't give it a chance, I bought the first season DVD, watched half of it, got bored and gave it to a friend. Who knows maybe I'm missing out. For those who love it, great,we all like different things.",2009
8,I love Shameless. I didn't watch the first series and have watched all of the second series and I love it. It's basically about the British equivalent to white trash (Chavs).,2005
10,"How happy is the blameless vestal's lot! The world forgetting, by the world forgot. Eternal sunshine of the spotless mind! Each pray'r accepted, and each wish resign'd. -- Alexander Pope",2004
10,"""How happy is the blameless vestal's lot! The world forgetting, by the world forgot. Eternal sunshine of the spotless mind! Each pray'r accepted, and each wish resign'd."" - Alexander Pope",2004
10,"This movie gives us what we all secretly wish for-- a chance to forget something that's hurt us in the past. The viewer can almost live vicariously through the two dysfunctional characters that are remarkably just like ordinary people. The relationship problems are the same. The little fights and bickers are things we all can relate to. The acting was amazing- throughout the movie, I actually forgot that I was watching Mr. Ace Ventura himself. Carrey and Winslet pull off a great performance, both ditching the typecasts that they've been shackled with. Not only did the film give us the opportunity to see what it was like if painful memories were erased, but it also gave us the opportunity to see that everything deserves a second chance. The way it ends leaves the viewer to imagine how the characters' lives will end. The idealist may say that they lived happily ever after; the pessimist may say that they just reverted to disliking each other again. Either way, it leaves you to imagining your own ending; a characteristic many films leave out. Basically, this movie makes you think, ""What if...?"" It truly gives new meaning to the phrase ""You never know what you've got until it's gone.""",2004
10,"Michel Gondry, credited as the director and co-writer of Eternal Sunshine of the Spotless Mind, is only partly responsible for the success that the film achieves. He implements a awe-inspiring blend of style to a story that is perfectly non-linear. But then there is also the madman genius of the current screen writing plane- Charlie Kaufman- who has written three of the most ingenious, funny, and human of ""little"" Hollywood movies (Being John Malkovich, Adaptation, Confessions of a Dangerous Mind). ",2004
10,"After a lukewarm reception in 2001 with ""Human Nature"", Charlie Kaufman has teamed up with director, Michel Gondry again for this romatic fantasy. With a name like Jim Carrey, this second collaboration couldn't go wrong in terms of box office success, and nor should it as this film is quite simply brilliant.",2004
9,"It happens to both the best and worst of us at some time in our lives. Love . If you haven't experienced this yet just wait, you will. It is inevitable that at some time in our journey through life that we will come across someone that fascinates us so profoundly that we feel as though we could spend the rest of our lives with this magnetic individual. There is no exact science to the concept of love. Many believe that the idea of love goes beyond the reasonable or the logical to a more diverse level of the illogical, irrational, and the unreasonable. Why is it that we find ourselves attracted to people that, on the surface, seem as though they would never be compatible with our own lifestyle? Why is it that when we do fall in love with a certain individual and think at first that this is a perfect match, we find over time that less tolerable marks are more frequent on the surface? And why is it that we overlook some individuals that, although at first there is no real 'love connection' per say, we seem to have a somewhat pure liking for someone and that it takes us longer then it should to see that person for who they really are to us? Love is a complicated subject that can't be taught, it can only be experienced for what it is . utterly confusing and yet at the same time completely fulfilling.",2004
10,"There's only one way to describe ""Eternal Sunshine Of The Spotless Mind"": perfect. It's been one week since I saw the movie and I still cannot stop thinking about it. Was the ending happy or sad? I cannot tell, but it's deeply touching.",2004
10,Very nicely crafted science fiction love story. More of an experience than a film.,2006
