Rank,Review,Year
2,"Diabetics beware, you're in for a saccharine flavoured heap of mush.",2018
5,"Had they pushed through with just saccharine caring and sweetness for the creature to help it escape, it would have been 6 stars. cast is great. ",2018
1,"I was taught before criticism that you should first bring up the good points. Good points: Cinematography, good actors, great old movie clips and music, great sets, good costumes, and an extremely promising storyline. Unfortunately, this movie missed, when it really could have, and SHOULD have, hit. 
I think from now on I'll choose my movies based upon how they're doing at the box office, and not based on reviews. It seems to be a better indicator of what the public REALLY thinks about a film. 
We're at week 3 and (for such a seemingly magnificent film), The Shape of Water hasn't even broken even. A telling clue. Budget:$19,400,000 (estimated)
Opening Weekend USA: $166,564, 3 December 2017, Limited Release
Gross USA: $12,140,155, 28 December 2017",2018
1,"I really don't understand the hype for this movie. I know del Toro makes some odd movies, but I did like Pan's Labyrinth and The Orphanage, so I went into this one without reading any reviews or knowing much about it but expecting something decent as a way to spend 2 hours of my life. Wrong!
-The dialogue in this movie is just choppy and facetious. The most cringeworthy conversation to me was between Hoyt and the ugly bad dude. Fragmented threats like ""I will take you out of this universe"" just don't do it for me. Absolutely illogical and nonsensical script. It seems like they said every line in the movie thinking that it was deep and had an impact and was super important... but nothing was really needed for this movie. It could've been filmed without speaking at all and the stupid story still would have come across.
-I just didn't feel the relationship/love between the annoyingly mousy lead lady and the fish dude. She got on my damn nerves, really. So she brought the semi-sentient creature some boiled eggs that she made while she fapped in her bathtub (awkward and unnecessary). And meanwhile the entire f*cking building is on camera, but they never see her repeatedly sneaking in his sealed off room to feed him and even play music and dance for him?!?! serious cringe-fest right there. 
-the black lady Zelda ran her mouth all the time but yet everyone stepped all over her, including the lead (Sally I think? I'm trying hard to forget this stupid movie). Couldn't she ever tell Zelda a simple ""thank you"" for all the millions of times Zelda stepped up for her, made sure she ate, translated for her, punched her time card for her, lied for her, etc? Not once did Sally show gratitude. It's like Sally is a weird, selfish person that became infatuated with a dude that looks like Thane from Mass Effect 2 (yet Thane was 1,000 times more of a fleshed out character than this ""god fish"") and everyone just helped the anorexic mouse lady because she ""found true love."" No one thought this was f*cking weird?? She meets a semi-intelligent FISH in a lab tank and bangs him and has a sick puppy love for him and everyone in the movie acted like that was completely normal. Seriously? In what world is bestiality normal? Just completely idiotic.
-Soooo many unnecessary and useless scenes. Who cares about the mean dude (Michael Shannon) not liking noise and furiously banging his weird Stepford Wife missionary style while he covers her mouth and continually tells her to shut up? And when he got his new Cadillac car with the weird salesman and all the useless banter about its color being ""teal"" not ""green?"" Or the scene with Sally furiously water-fapping while she makes boiled eggs for the weird fish dude? or where M Shannon pees in front of the 2 ladies without holding his d*ck? 
I could go on and on forever and rip this movie to shreds, but I'm already annoyed and tired from writing all this. This movie was completely and utterly stupid, and I wish I could have my time and money back. Fail, del Toro. Big stupid fail. Ugh.",2017
3,"While the basic premise of this King Kong-ish plot, the lead acting (with the exception of the stereotypical and WAY overplayed villain), and the recreation of the 60's time period are all somewhat worthy (three stars worth), there are many oddly-forced and clunky scenes all of which impede the storytelling flow and represent a serious distraction: Gratuitous gore (rotting fingers, headless kitty), homosexual innuendo, masturbation, a bathroom that will hold 7 feet of water by simply closing the door and putting a towel under it, inter-species love at first sight sexual attraction and off-screen consummation, and a Saturday-Night-Live-like song and dance skit (?), among several others. ",2017
3,G. Del Toro has been frequently fawned over as a 'masterful story teller'. I found nothing 'masterful' about it. I absolutely could not hook in to this film. It made no logistical sense at all. It also had a dark and cartoonish feel to it like a Bat Man film. ,2017
9,"In Baltimore, in the early 60´s, the lonely and mute Elisa Esposito (Sally Hawkins) is the janitor of a secret government laboratory where she works in the night-shift with her friend Zelda Fuller (Octavia Spencer). She lives in an old apartment above a movie-theater and she usually watches television with her other friend, her next-door neighbor Giles (Richard Jenkins), who is a gay artist. When a creature captured in a South-American river and brought to the laboratory, Elisa feels curiosity and learns that he is an Amphibian Man (Doug Jones). She secretly feds him every night with egg and listens to music in his room, and they become close to each other. However the security agent Richard Strickland (Michael Shannon) is bitten by the creature and loses two fingers. He meets General Hoyt (Nick Searcy) and convinces him to eliminate the creature. When Elisa discovers, she decides to rescue the Amphibian Man and release him in the sea. The scientist Dr. Robert Hoffstetler (Michael Stuhlbarg), who is a Russian agent, decides to help her. ",2018
4,"Take E.T., mash it up with the aesthetic sentiments of Amelie, throw in a dash of The Artist, top it all off with some amazingly open-minded attitudes toward bestiality and you have The shape of Water.",2018
8,"With ""The Shape of Water,"" Guillermo del Toro has crafted a wondrous fairy tale for adults. Many are saying it's not as good as ""Pan's Labyrinth,"" but I didn't much care for that movie and liked this one much more. It's anchored by a marvelous and silent performance by Sally Hawkins, as a mute cleaning lady in a government installation during the Cold War who falls in love and tries to rescue a strange, amphibious being who is wanted by both the American and Russian governments. She's aided in her efforts by gay next door neighbor Richard Jenkins and work partner Octavia Spencer. It's notable that the three principal characters are people pushed to the fringes of society because of various things ""wrong"" with them from the perspective of 1960s America: being handicapped, being gay, being black. That a rag tag group of disenfranchised misfits dare to go up against the government and military establishment of a world superpower gives the film both a tremendous rooting interest and mirrors what's happening right now in American culture, in which groups who previously had no voice in the cultural conversation are now being heard loud and clear.",2017
8,"Guillermo del Toro is back with this visually stunning and thoroughly entertaining adult fairy tale. While this movie does not quite live up to some of his previous films (i.e. ""Pan's Labyrinth,"") it is still a great film in its own right. When one begins to watch the film, the first thing that the viewer will notice is the luscious and stunning visuals. These aesthetic qualities are all the more superb and stunning when one takes a moment to realize that they were done with practical effects rather than CGI. As usual, the visionary style del Toro takes to envision his creature and sets is incredibly impressive. Alexandre Desplat's score, with its simplistic, unpretentious and almost low-key charm, is also thoroughly riveting.",2017
2,"This has absolutely so much going for it - beautifully filmed, with a magnificent, sweeping score and a stunning performance from Sally Hawkins - but crashes and burns in sentiment, cliché and cartoon supporting acts. It comes across, ultimately, as a cack-handed mash up of ""E.T."", ""Splash"" and ""The Creature From the Black Lagoon"", as an aquatic man is captured and brought into a secret military American laboratory in the 1960s at the height of the cold war, and Sally Hawkins' mute cleaner develops a bond with it and, ultimately, falls in love.",2017
9,"To communicate or not to communicate. Sometimes is just out of fear that we don't come close to the ones who can give us exactly what we need. They're different, let's stay away. Sally Hawkins in a magical but beautifully real performance invites us to try, to dare. Guillermo del Toro takes us through the paces with extraordinary delicacy and clarity of vision. Thank you.",2017
7,"Guillermo del Toro is a great director and a good story-teller. Another story, of magic realism, was presented to viewer's eyes, in a captivating and mysterious cinematographic image. I enjoyed watching this movie and few clues remembered me of something: the speechless etherical woman, her attraction to water, how she was found on the riverbank when she was a baby, the signs on her neck and not the least her love story with that half human, half fish creature. Few minutes after the end of the movie I knew: she resembles the little mermaid who sacrificed her voice, long hair, her immortal life etc. for coming in the human world just for a prince's sake, losing almost everything. This time another little mermaid chose to live in the human world, in a humble and mostly inward way. She was turned back to life and taken away to the sea by a man of her kind. Back to the sea, the justice was done and finally the little mermaid found her peace and true love.",2018
7,Here's movie that preaches tolerance. It's a love story between a speechless girl and an aquatic creature. Never mind where will they live.,2017
9,"Whether it be Creature from the Black Lagoon, Beauty and the Beast, Edward Scissorhands, or even Her from a few years ago, movies about forbidden love are a common theme in romantic films. And if done right, they could be extremely effective. The Shape of Water stands as a fresh take on that tale, and yes it works really well as a romance between a government controlled creature and a mute custodian.",2017
10,"Guillermo Del Toro's newest film ""The Shape of Water"" took my breath away. Easily this is Del Toro's finest film since ""Pan's Labyrinth"" and may even be his best in general. This is a film where Del Toro weaves magic throughout with a story he created which is simple, yet layered with such interesting facets embedded in each character, set, and prop as he allows the audience to discover this intimate and fascinating world of ""broken"" people searching for a moment of meaning. Captivating from its opening scenes with haunting visual imagery, and a lyrical score by Alexandre Desplat, one is immediately enthralled by this fairy tale that is not your usual saccharine variety that Disney cranks out.",2017
9,"Today's movie deals with a love between a human and a monster. Many should immediately shout, ""Beauty and the Beast!"", as that's the most well known fairy tale of that same kind of love. When you come down to it, it's seen as bizarre, considering that it's practically two different species that have declared a love between each other. It's a connection that falls off the radar, but you could argue we have connections to a lot of things that are not human. Children love their electronic video games. Pet owners love their dogs. What's different is that those connections are not romantic, but rather mutual. ",2017
3,"The Shape of Water is noted director Guillermo del Toro's vastly overrated attempt to link mythic fantasy to the Cold War era. The problem with the film is its absurd premise: there's a secret government facility in Baltimore which houses an amphibian humanoid captured earlier in the Amazon by bad guy Colonel Richard Strickland (a cartoon, right wing martinet adventurer) played by an over the top Michael Shannon.",2018
10,If I was to tell you about Guillermo Del Toro's new film what would I say.,2017
5,"Okay, first, the good stuff: ",2017
7,"Only Guillermo Del Toro could pitch, ""It's a monster romance picture that feels like Free Willy meets Amelie in the Cold War era."" But you know what? It works...mostly. (You know, other than the central romantic relationship.) Regardless, it is absolutely beautiful and enchanting. There were points where I felt like this story tried a wee bit too hard, but it never strayed far from what it was. It was an un-apologetically monster fairy tale. If you want it to be something else, you will be disappointed. If you let it be what it is, you will enjoy every minute.",2018
10,"Every now and then a work of cinema arrives in theaters that completely challenges one's conception of what a film can be. A groundbreaking technical and thematic masterpiece, Pan's Labyrinth and Hellboy director Guillermo del Toro accomplishes something that on paper seems impossible; what is essentially a comedic Cold War body horror musical romance between a mute woman and a mermaid. Not only does the modern master of movie monsters blend such an eclectic variety of genres into a single storyline, but he also does so without any sense of convolution or confusion, exhibiting a technical mastery that allows the film to seamlessly flow between its fantastical elements and social realism as well as stand as a work of art on its own. What Del Toro's latest film offers is not merely a stylistic spectacle, but also a thoughtful meditation on the nature of love and its ultimate lack of boundaries.",2017
8,"Guillermo del Toro created a visually artistic masterpiece with his visionary writing and directing. It's a unique love story told in an amazing setting. Sure there are many plot issues but the message still came across well. This type of film is not my cup of tea, but nevertheless, it deserves praise for its outstanding production. A well deserved 8/10 from me",2018
8,"This beautiful and very clever movie will not be for everyone, but if you are prepared to suspend your disbelief it really is a lot of fun (I see from other reviews that not everyone did this). Sally Hawkins is fantastic (I've loved everything she's been in recently) and Michael Shannon is the perfect stereotyped bad guy. The story is simplistic, sure, but the sets and the cinematography are the real stars here. If you've played the video game ""BioShock"" then a lot of it will look familiar. ",2018
1,"The Last Jedi is obsessed with the fallacious idea that in order to move forward you have to destroy everything that came before. It is as if someone walked into the Louvre and said ""you guys need to stop holding onto the past,"" and then threw a torch down, cackling as hundreds of years of irreplaceable works of art burned to the ground, and then, standing triumphantly on the ashes, drew a smiley face.",2017
1,This movie was just magical.,2018
2,"I just felt like the story was thrown together as they went, because it is some of the laziest and Deus Ex Machina reliant work I have ever watched. I personally didn't watch any fan Theories and just went opening night to be entertained by another Star Wars movie. Instead Rian Johnson serves up a good lesson that quantity is not always quality.",2017
1,"It's hard to imagine a studio being THIS stupid, THIS unwise, THIS disrespectful to a loyal fanbase that goes back *forty years*.",2017
2,"After seeing the unbelievable rating of this movie, I have never felt further removed from the average Star Wars fan. ",2017
3,"I had relatively high expectations of the Episode VIII. Unfortunately, ""The Last Jedi"" has so many plot holes, inconsistencies, ripoffs from previous movies, annoyingly flat and underdeveloped characters and dialogs, that it deserves many bad reviews that it receives from the public. It could have been so much better...",2017
2,"I can't really get into what's bad with this movie without dropping a ton of spoilers, but let me put it this way: a friend of mine went to see this before I did, and when I asked him how it was he hesitated, then said ""it's just a superhero series now"". He was more right than I ever could have known.",2017
1,"This was supposed to be the film that propelled the saga forward into a new direction??? What was wrong with honoring the direction and legends it started?! All this movie does is crucify a heroic character we all loved from childhood, and then leaves us completely unsatisfied with Rey's storyline. Are we honestly expected to believe ""anyone"" can be a Jedi?? Disney needs to stop controlling this ship! It's not supposed to be part of the ""Disney Princess"" history. What a shambles!!",2017
2,"To clarify before beginning my review, I'm a 34-year-old lifelong female fan (not a misogynistic racist fanboy as some people assume of those who are unimpressed with this movie's outcome). The characterization of Luke and some of the others was downright WRONG, especially to those of us who loved the OT. And let's be clear, I'm not an OT purist. I will defend Revenge of the Sith to my death. I watched the Force Awakens 5 times in theaters. I thought Rogue One was one of the best Star Wars movies ever. ",2017
1,"As much as I wanted to love this movie, it utterly failed to deliver on so many levels. Disney, in all its previews, advertised the film as a serious epic focused on Luke, Rey, and Kylo Ren, with no doubt some appropriate comic relief as always. What they delivered was a farce-tripping over itself with excessive and ill-timed humor such that no scene could ever be taken seriously, even ones that were intended to be. That combined with frenetically paced scene transitions, too many new characters, and wasted sub-plots (casino scenes), meant the main story and characters were left undeveloped with few burning questions answered. The main premise, equivalent to a slow motion car chase with the First Order chasing the Resistance until they run out of fuel, was absolutely ridiculous. Perhaps most unforgivable of all was the treatment of Luke Skywalker. While initially promising, his diminished role and ultimate end were insulting to his character and inconsistent with everything we know about him. Shame on Rian Johnson.",2017
1,"Wow this is getting hammered by reviews and now I understand why. Given its still in week 1 and most of the early reviews were all paid for and fake, the fact that this is at:",2017
3,"The Last Jedi is one giant cinematographic anticlimax. Each sequence had a twist for the sake of a twist. Each time, the chosen twist was always the lesser of the interesting possibilities the resolution could offer. Each scene had a build up that lead to an anticlimax.
Examples:
1) Set-Up: Luke gets his blue light saber back. The biggest buildup at the end of The Force Awakens. Two years in the wait to see what Luke is going to do.
Anticlimax: Luke throws the light saber away over his head in a slapstick manner.
2) Set-up: Is Admiral Holdo a traitor?
Anticlimax: Apparently she's not, she just wanted to hide her plan (of saving The Resistance) from everybody without any apparent reason, creating forced conflict.
3) Set-up: DJ explains the war economy to Finn and Rose and shows that the weapon dealers sell weapons to both The First Order AND The Resistance.
Anticlimax: Finn and Rose ignore it completely and pretend this discussion never happened.
4) Set-up: We finally meet Snoke, the new biggest Dark Side villain of the galaxy. Who is he?
Anticlimax: He's nobody, Snoke is killed off in the most anticlimactic and convenient way possible; and this in the middle of the movie!
5) Set-up: Rey is finally getting the answer of who her parents are.
Anticlimax: She is a nobody. Her drunk parents sold her to Unkar Plutt when she was a child. They then died and were buried somewhere on Jakku in a mass grave.
6) Set-up: The big climactic build-up of the battle on Crait where Luke walks towards The walkers of The First Order. The music builds and Luke is ready to do some serious force-s***.
Anticlimax: Luke was using a projection of himself, Force-broadcasting it from Ahch-To to leave some time for The Resistence to escape. This drained his energy and killed him apparently.
The Last Jedi felt like making love to the woman of your dreams, and right before you come she stops you, pushes you away, and tells you to leave for not apparent reason. You are just dumbstruck thinking ""What!?""
The Last Jedi is a mix between Return of The Jedi and the prequels. It had the potential of becoming ""something truly special"", but like the prequels, all the decisions that were made were the least interesting and in some cases the most ridicule ones. For example: The whole crowd started to lough in mockery when Superwoman Princess Leia flew through space... Casting A-list actors like Benicio Del Toro for small roles is another example of a weird choices.
The rhythm was off. Wen the subplot started about Finn and Rose going to Canto Bight, the movie started to drag. Then, when the Crait battle started, everything was rushed. All the interesting questions The Force Awakens asked were answered in a rush.
The Last Jedi is a ridicule movie, a 2h32minutes long awkward an weird cinematographic experience.",2017
2,"First of all, I'm a big Star Wars fan, and I think the prequels were good, because they were building up to something, Vador. But this... Where is THIS going...? It's the first time in my live that I've taken the time to write a review, because there is no way this movie deserve his 8.1/10 rating. And five years old kids don't come to rate movies on IMDB, so people were clearly paid to rate this movie past 5 stars.",2017
1,DO NOT READ MY REVIEW IF YOU DO NOT WANT TO SEE SPOILERS,2017
4,I've read articles saying the THE LAST JEDI is being rejected by fans because the fan theories all turned out to be incorrect. That's wrong. THE LAST JEDI is being rejected because it didn't deal with any of the questions that THE FORCE AWAKENS spent so much time asking. Who are Rey's parents? It doesn't matter. Who is Snoke? Shrug. We're going to save Luke Skywalker until the last few seconds. Why? So he can spend almost the entirety of the next movie doing absolutely nothing.,2017
1,How this script made it past everyone at Disney I'll never know. What happened to the Star Wars that told a coherent story and focused on characters that we truly cared about? ,2017
1,"A movie that tries extremely hard to be politically-correct, while being inclusive and embracing diversity, that it forgets what it means to be a part of the Star Wars lore. One of the greatest protagonists in cinematic history has been reduced to an uninspiring hermit drinking milk off an alien-cow-dinosaur hybrid. Supreme Leader Snoke could potentially be a greater villain than Darth Sidious but unfortunately killed off, Darth Maul-style. Meanwhile, forgettable and insignificant token characters such as Finn and Rose were kept alive all in the name of ""multiracial-diversity"" and ""political-correctness"". And don't get me started on the space battles: It was vomit-inducing.",2017
1,"I was totally baffled during the movie and when I walked out of the theater, had become lost of thought and empty of any emotion - perhaps because I was in a state of shock. I won't regurgitate the many valid negative points that previous reviews have already discussed. They are all valid and should be up-voted every single instance. I just want to comment on how utterly disgraceful it was for the handling of four main characters:",2017
2,"Congrats for killing another franchise. The movie was horribly edited, half of the things happening on screen are literally pointless and theres NO character development whatsoever. Rey becomes a jedi after a 15 min meditation session with Luke, Kylo kills Snoke (wich was supposed to be stronger than vader and sidious) and this somehow doesnt change anything AT ALL. But hey, the 2.5h of screentime are filled with poe doing poe things, finn and a forgettable chinese partner going to the forgettable space-las vegas and doing pointless things that have nothing to do with the plot except giving benicio del toro some money, and leia somehow flying in space. Oh also dont expect explanations for the multple questions you may have had after seeing TFA. 13/12/2017 is the day Star Wars died, good job mickey mouse.",2017
3,"I can honestly say that i have never left a movie theatre on any previous occasion and been angry. When I left the theatre one of our group asked me what I thought, i usually have something to say about what we've seen. I errupted, the anger was welling up inside. I can't really convey in words, the level of disapointment. ",2017
1,Hello All! ,2017
4,Warning: This review contains significant spoilers.,2017
2,"I never thought I'd be saying this, but I have never been this conflicted with a Star Wars movie plot in my life. 
I want to go through the movie one point at a time:",2017
10,"I've just watched the whole series in one go and I wish there were more episodes. The writing is fabulous - witty but naive, cruel but touching. ",2017
10,"Spectacular. I started watching on a whim when I saw the Netflix banner and got so caught up that it's suddenly 5:00 AM and I just finished the finale. This is a younger version of Bonnie and Clyde except PLOT TWIST the crime has a reason and one of the protagonists is a would-be sociopath who sets out to kill the other. The acting is brilliant, the characters are brilliant, there are lesbian police detectives whose lesbien-ness isn't the main focus of their characters. What more could I ask for? I'm sure that people are going to complain about the romanization of violence/crime/anarchy or whatever, but I would argue that this show does exactly the opposite. Everything has consequence in this tragic tale, from the young protagonists' actions to the adults whose mistakes have irreversibly damaged the lives of their children and the people around them. The performances are stunning. I've only ever seen Alex Lawther in Black Mirror, but I look forward to his future projects. That dude has a long career ahead of him, and so does Jessica Barden. A side note: As someone in their late teens, its refreshing to see actors who actually LOOK like teens playing teens. Every other piece of media shows airbrushed adults in their mid twenties as the ""average teen"" and it gets exhausting (I can confirm that almost all of us look like baby eggs with faces, even as a freshman in college). This is dark, this is real, this is relevant, and this is beautiful. P.S. This is not a rigged Netflix review. I am ACTUALLY giving this 5 stars and I am writing it of my own volition. Peace out",2018
10,"From the first five minutes, I was hooked. And I was hook line and sinkered into thinking it was going to be a teenage angst road movie! Not so!
The entirely Adult theme, off kilter storyline and the entirely believable yet totally surreal characters draw you inwards and downwards on an inescapable maelstrom of a tale that forces you to care about the protagonists and their all too tragically inevitable fate.",2018
10,"So much of today's TV is puerile and childish. This most certainly is among the Best of British TV. I fear that it's title will prevent it from awards though. After a good 53 years of watching screens, this stands proud as an example of what you can do if you have true talent. I look forward to seeing what all involved have to come...",2017
9,"Well have just finished watching all 8 episodes. I can see the audience , young (me 60), that the producers were aiming at . However if you like your stories in the K Dick / Missfits, style then you will enjoy this. I have given it a 9 /10 rating as there were a couple of ""odd"" occurrences, that I will not elaborate here, for they were minor and could spoil things. Give it a go.",2017
10,"We binged this one. We just couldn't stop watching. There is so much that is wonderful about this drama. Excellent writing and acting. The locations and sets are uniquely fabulous. It doesn't feel like a British TV drama, more like an American road movie. Great pacing. A wonderful mix of humour, darkness and pathos. Truly fantastic.",2017
10,"Well, frankly it is easy to binge, short 8 episodes put online altogether. It feels a little bit weird kind of a ""chumscrubber"" or ""thumbsucker"" movie (if you're familiar with it) but a bit longer, with different story arcs of course. ",2018
10,"This modern British teen ""Bonny and Clyde"" esque comedy/drama has me feeling so many things. All in the best way possible. The show does so many things right! Firstly, the chemistry between James (Alex Lawther) and Alyssa is something so fresh. Their match was not destined to be. What this show does really well is how it kind of sticks close to reality. Our expectations are almost never what we want them to be. The End of the F***ing World also has some great humor. Mix it all together with great casting, screenplay, relatable characters, and action...that is what you get. Fresh, Daring, New, and Thoroughly enjoyable!",2018
10,Just binged...and am now extremely annoyed!!! Why is there no more?!?!,2018
10,"Binged all Episodes. After I was finished, I started again. Amazing Actors, well written deep but easy story, beautiful settings, amazing shots. Don't know what to say...",2018
7,"I feel that people don't understand what 10/10 and 1/10 means, because all the reviews I saw seemed to be either one of those. It's not a bad show, actually it is quite entertaining. Is it shocking and brilliant? Is it thought provoking? Not really. I mean I guess it's bit of a criticism on the modern world: how we're all shallow and we don't connect and it's hard to find meaning in life etc. etc. but it's not really profound or anything. It's kind of just stating the obvious. And yes ofc love and 'true' and 'real' connection are the answers to all of that, but U know, everybody knows that too. However the actors are good and the characters are fun to watch and they definitely have some character development. Both of the main characters are quite unlikable in the beginning, but at the end of the season there really is a feeling that they're likable, almost lovable people. Also the couple do have a really nice chemistry, which is nice. And it also has the classic theme that for one to be good you have to first also do bad things and know your evil side, your shadow, although it doesn't necessarily convey that that well. Overall it's a good first season, not amazing, but I look forward to seeing what the next season will be like.",2018
10,"Some people may say this is a story about a teenage sociopath who wants to progress from killing animals to murdering his new girlfriend. That may be our starting point, but what unfolds is transformative for the two leads. While both James and Alyssa kill, they each do so out of caring, not hate. It's often the parents and other adults who are the villains of the piece. Those who have had the time and experience to develop empathy, but yet haven't.",2017
3,"After reading so many good reviews here and in Rotten Tomatoes, I gave this show a shot. Sure, the premise is kinda original, but falls apart very quickly
By mid-series you still don't know what these kids are expecting from life (apparently they don't expect nothing)
Most of the stuff that follows mid-series are predictable, and the ending....omg the ending...
Perhaps this series is aimed to emo millennials or something, because honestly I didn't see any magic or surprise, or even a decent plot. The original idea from the beginning is completely lost and ends up being the most cliche it can be",2018
3,"I was expecting it to get better, as some people said, by episode 3. Thing is, there is no climax. The whole series is flat and forgettable. Characters are stupid, the script is pretty much ""fuck off"" all the time. They are just two edgy teens, just as I expected. And that end? Lame. Wouldn't recommend to anyone over the age of 16.",2018
9,This show is fantastic and probably unique. I really like this style of the storytelling and also the mix of drama and comedy...So it is ideal show for me!,2017
8,The Channel 4 and Netflix original series 'the end of the f***ing world' tells the story of two teenage social outcasts named James and Alyssa who become bored of their boring miserable lives and decide f*** it and go on a journey around England but managing to find trouble. Oh and James believes himself to be a psychopath hellbent on killing Alyssa and Alyssa has some serious anger issues. ,2018
9,"Popped on an episode and ended up watching all of it in the span of a couple of hours. Each episode is only about 20 minutes, and with only 8 episodes in the first season, I was done in less than 3 hours. ",2018
10,...with every single person involved in this wonderful piece of television.,2018
4,"The best Nextflix series ever with the maximum of points!
So said the papers...
And more good reviews...
So I gave it a go.
Biggest dissapointment ever.
Despite having good actors in it I couldn't watch it for more than 2 episodes.
And that's only 40 minutes in total.
I can't imagine anyone over 16 being interested in it.
It looks like a school project where they want to shoot a wannabe American road movie.
Even the neighborhoud they lived in was chosen to look like the white picket fenced suburbia.
And it's no accident they stop to eat at an American diner.
I don't know why the writers are doing this.
Is generic Hollywood crap what they're aiming for in the UK?
I hope not, and hope these tallented young actors spit out this piece of bubblegum and move on.
Or they might end up like Idris Elba, filling his pockets playing charicatures in blockbusters with an American accent.",2018
4,"A silly and ridiculous series, when we watch this show, we have to ask ourselves what we learned from it and what the positive aspects are. The answer is nothing positive, but this series has had a lot of disadvantages, such as: corruption, family anomalies, disrespect for parents, encouraging the killing of animals and insisting on violence and theft,",2018
4,"Yeah it's basically a modern version of Harold & Maude but instead of an elderly 'free- spirited rebel' its now a millenial 'free-spirited rebel'. The girl is insufferable. Arrogant, cruel, foul mouthed, self centred....and utterly unsympathetic. The guy is basically autistic with the occasional murder fantasy thrown in to prove he is a psycho. It really doesn't sit well that this is kinda played for laughs, as well as the numerous animals he has murdered as a child. ",2018
2,"I had high hopes for this one but it ended up painful to watch. Predictable throughout and the characters and dialogue felt way too obviously tailored to whatever Netflix' big data algorithm told them would appeal to their viewers.
They might have gotten away with it had this been made as a movie, but as a series it simply falls flat.",2018
