Rank,Review,Year
1,"I've been watching this since 2010. I LOVE zombie movies. Dawn of The Dead is my favorite. Back in the early 2000 there were several great zombie movies. Nowadays they are awful. More guns, empty characters, and explosions plus bad scripts than anything else. How in the world TWD transformed into a Steven Seagal movie? I remember the beginning was so thrilling  suspenses, a story, characters that you cared about, scary zombies. But after season 3 or 4 everything turned into guns and people fighting people. Cheap scripts, retarded dialogues, poor CGI. Take any episode from season 4 on and you can broadcast it on a cheap TV station as ""action"" movie. No one would tell the difference.",2017
5,"This show used to be good, very personal, sometimes a bit melodramatic, but always filled with strong characters and interesting story arcs.",2017
5,"As Season 8 begins, this has gone from 10/10 to 1/10. Terrible. Absolutely terrible. ",2017
3,"Something is wrong with season 8. The walking dead is my favourite TV show but first 4 episodes could be just 1episode or half! Even images/photography and atmosphere look different...its like there is another director or something cheap .Writing is silly and boring...Negan,one of the most interest vilain, they manage to make him seem boring. I don't know maybe they decide to take it really slow but is not good idea. And doesn't look nice also..",2017
1,"They've lost me, the producers have lost me. How many times can they recycle the same plot? This is no longer humanity vs zombies, this is humans vs humans with a unnecessary dose of violence and twisted psyche, all for the sake of maintaining ratings and milking the cash cow. The writers creativity have been depleted for a few seasons now, there has been no direction, no gradual learning, no story development. All the physical moving around is just the illusion of story to mask the fact that there isn't a story being told at all. The show isn't going anywhere. I have stopped watching, and I feel liberated from this burden of a show. TWD has slowly decomposed into a gross, unintelligent TV show. Who keeps making gas, electricity... but then there's no radio communication... What happened to the military, the government, smart people, common sense... I understand the appeal for certain demographics, but I, for once, demand more from entertainment than this garbage, good bye!!!",2016
2,"I suppose it still has a lot of fans, but TWD has become incredibly dull and boring. Some reasons:",2017
1,"This show was my all-time favourite TV show. Seasons 1-3 were great, good plot, they actually had GOOD ACTORS (Merle, Shane, Governor), the zombies were actually a threat (remember when you can get infected by a scratch! Well not anymore!). The show is just so slow-paced with no meaning in any episode. You can skip a couple of episodes in S7 or 8 and not miss out on anything. ",2017
2,"The Walking Dead has reached an all-time low. I can't even express in words how disappointed I am with the season finale. It is without doubt the worst season finale we have seen to-date: absolutely nothing happened, nothing! How on earth did it take Negan 50 minutes to get to Rick's front door?! And, not only did nothing happen, but it rendered the entire season a complete waste of time. Episode after episode, we watched Rick salvage supplies and weapons for this attack; only to see such an anticlimactic ending. It was absolutely pathetic! It's easy to see why the rating for this show are the lowest they have been in five seasons! People are so sick to death of being jerked around, episode after episode... If this is how their first attack against the Saviours was always going to end, it could have happened 5 or 6 episodes into the season. It's so disappointing! I used to love this show. It was once the best show on TV, hands down. What happened? It peaked, and now its slowly dying a horrible and painful death, and destroying its cult following. I wouldn't even give the Walking Dead 3 (out of 10) stars now. It's become so mind numbing boring, it's hurting my head. It's seriously circling the drain. Rick spent half a season preparing for this fight, only to be is betrayed by the Scavengers. The second after it happened, I thought, WTF?! Two steps forward and another ten steps back. This is what this show has become now The season finale could have made up for the entire season, but instead, it was worse than the season itself. And, tell me, what's going to happen in the next episode: Negan is going to walk in again and take all their guns – again – which will put us right back at square one. So did anything happen this season? NO. Could the Walking Dead get any worse? I DON'T THINK SO. Are people losing faith in this show? YES! JUST READ THE REVIEWS ONLINE. Even my girlfriend, who is a hard core fan, tuned out half way through the season finale... The series has become so boring now, it needs to end before it becomes the worst shows on TV. From seasons 2-5, every episode finished on such an amazing cliff-hanger, and you had no recourse but to watch the next and the next and the next, and so on. Now, it's so far beyond redemption, I'm done!! I thought the Walking Dead crashed and burned over 2 seasons ago, but I held in there, hoping against hope, it would make a bounce back but all I have experienced is utter shame and disappointment! My loyalty to the Walking Dead, only stretches so far, and I have reached mine. ",2017
5,I was such a fan of this series. Season 1 with the opening scene from Rick in the hospital and meeting the first zombie. Epic TV!,2017
1,"At the conclusion of the 1st episode of series 8, the enthusiastic TV link lady said ""Well. Wasn't that worth the wait!"". Well. Actually, no it was not. I've done with TWD. No more. Enough! The dream sequences. Eh??? Awful. And how many more golden opportunities to kill Negan are going to present themselves And weren't the combined groups reduced to having a gun and bullet count in series 7. All of a sudden they've got 1000's of rounds to squander. And squander them they did, because they didn't get any of the saviours as far as I could see. Incredibly dumb and dull.",2017
