Rank,Review,Year
9,"Please I've read the moans petitions about how this glorifies Satan.. Sorry but so does Supernatural. Why do people in the US take this stuff so seriously. It a send up OK? Lucifer is witty and charming with fabulous one liners. The plot is terrible. (So are many of Supernaturals... Sorry guys) but we don't watch it for that.. if we believed every series on TV. I'd be walking around with a tin foil hat ""Cos Aliens are here"" ",2015
8,"Losing the red horn and pitchfork for debonair skin, the titular entity roams our world with wealth and taste. Lucifer is a quirky, somewhat mischievous take on the fallen angel. It has many pop references, cool soundtracks and more importantly, a smooth convincing acting from the lead actor Tom Ellis.",2015
10,"Well. This is my first review, for many time here and never done one, is because, this is the first time I got something worth to review. Even if English is not my mother language, I will try my best... sorry if something is misspelled or wrong written. I like complex things. And this character (religion out) is far more complex than any. I read the comics ""The Sandman"" and ""Lucifer"", and the premise is cool, considering the series is attached some how with the new issues coming from the comic. I liked the acting, specially Ellis... the girl is fine, and I like the chemistry between them. And more of it,the FX, for a TV series are cool. The script was fine, and got me (but... I knew who did it, to much TV for me, I confess. Though I will not spoil it) In the other hand, I know some people say it was overrated, but: There is a flavor for every taste... And for my taste it was awesome, delicious and brilliant. Every one is a critic, and every one can criticize, but it worth to take a look, just to know if you like it or not. And for the ones on seeing the religious way... People, there are others channels and other series to watch. That is it. Greetings from Uruguay.",2015
9,"So I suppose I'll begin by explaining this: I've actually never written a review or rated anything on IMDb, though have been using the site for as long as I can remember. Then I came by Lucifer. As he does in the pilot, I felt compelled to create an account just to write this and give this show the rating I feel it deserves!",2015
8,"As a fan of the supernatural, I was intrigued when I heard about Lucifer. However, seeing as I've been burned before, I started watching it with relatively low expectations. I was positively surprised by the shows' wittiness and clever dialogue. The devil is portrayed as a charming fellow who knows his way around the ladies; at least till he meets officer Chloe Dancer. His cheekiness and sarcasm makes him a breath of fresh air compared to the characters often found in supernatural shows, where the devils and demons are constantly acting as if they have a stick up their behind. Lucifer is not trying to be dark and mysterious, but fast-paced and humorous. At least that is my perception after watching the pilot. I will follow this show and hope it will continue this promising trend.",2015
9,"The kids and I watched this last night, nothing scary, pretty much PG and compared to all the other pilots out at the moment this was very good and has the most potential. We liked Tom Ellis as Lucifer, there was humour and subtle special effects as well as in your face special effects.",2015
1,"If this show were entirely new and not based in a comic series, it would still be incredibly lame.",2015
1,"how many more series should have less than 7 rating till producers stop making stupid cop shows? another special guy helping police solving cases! we already have I zombie,limitless,blacklist..... there are 3 more i forgot their names! so tired of the same stupid ,boring pointless plot! I'm just wondering how a producer accepts these kinds of scenarios ? i mean they already know the response to these type and yet they do it! i wasted my time watching 3 episodes. putting aside him helping the cop ,there is the part that the angel stops the time and comes in like 2 times per episode and asks Lucifer to go back and every time Lucifer gives him the same answer ! is the angel dumb? or maybe the father don't get it and re sends the stupid angel all the time! the other lame part is the CGI of the devils face!it's so fake and ridiculous that even a 5 year old wont get scared ! and why in hell Lucifer the lord of hell should be so sensitive and kind?he just changes over night to this cool kind guy who cares for others?he doesn't even get angry and he can control his anger! the actor is good but not for this role ! this show is doomed and i hope it get axed along with the other stupid cop shows ! i hope all their producers lose their jobs so they learn how to make series",2016
1,"I would have liked to have said that this is ""just another odd-couple police procedural"", of which there has been a large number of in recent years. Unfortunately, it falls short of even this low bar.",2016
10,"Wow, What a pilot episode!",2015
